year,month,evap,rain,soilMoist,temp,anomaly_score,weather_regime
2000,1,0.94,0.25,221.42,3.49,-0.009608527744087603,B: Cold & Dry
2000,2,1.04,0.31,216.51,3.38,-0.006572081651623929,B: Cold & Dry
2000,9,3.67,7.92,316.42,17.07,-0.00964826332864932,D: Extreme Rainfall
2001,7,3.17,15.66,331.67,22.28,-0.03740116920131764,D: Extreme Rainfall
2001,8,3.67,13.82,333.23,22.15,-0.0024935563756239842,D: Extreme Rainfall
2002,7,3.08,16.9,331.38,21.92,-0.03306899939292951,D: Extreme Rainfall
2003,7,2.73,18.22,328.08,19.57,-0.018956350988990955,D: Extreme Rainfall
2003,9,2.24,10.83,330.37,18.65,-0.017295919577069885,D: Extreme Rainfall
2004,7,2.66,15.8,330.62,19.15,-0.007405447352491268,D: Extreme Rainfall
2004,10,2.49,3.09,292.7,13.6,-0.0049141899976852255,E: Pre-monsoon Storms
2005,6,3.35,7.09,234.92,22.85,-0.010012879332281788,A: Hot & Dry
2009,8,2.82,15.48,337.01,19.98,-0.011615009899562101,D: Extreme Rainfall
2013,8,4.67,13.03,328.44,19.89,-0.003087723951624155,D: Extreme Rainfall
2014,6,4.98,7.81,260.98,22.01,-0.06742611253615094,A: Hot & Dry
2014,7,4.49,16.6,324.32,21.08,-0.01294641540889585,D: Extreme Rainfall
2015,7,4.4,14.33,319.38,21.44,-0.0005673619949108089,D: Extreme Rainfall
2016,8,4.62,9.12,324.53,21.16,-0.0001505181479679596,D: Extreme Rainfall
2018,7,4.05,22.03,339.12,21.67,-0.1323119016635912,D: Extreme Rainfall
2018,8,3.68,18.55,340.46,20.96,-0.05413067912468905,D: Extreme Rainfall
2019,7,3.73,15.3,306.39,20.59,-0.0010708315806149393,D: Extreme Rainfall
2020,5,1.34,0.0,163.75,16.91,-0.019475084001046805,C: Warm & Humid
2020,7,1.86,0.0,152.21,20.65,-0.08256610076632742,C: Warm & Humid
2021,1,0.65,0.17,178.18,9.87,-0.02579679538971935,B: Cold & Dry
2021,2,0.67,0.3,166.58,11.12,-0.050049637010733394,B: Cold & Dry
2021,3,0.73,0.46,153.88,15.43,-0.09245306070753967,C: Warm & Humid
2021,5,2.04,7.01,225.49,18.29,-0.01183635641057379,E: Pre-monsoon Storms
2021,8,4.37,5.57,330.86,20.75,-0.012728067610450533,D: Extreme Rainfall
2023,6,2.73,0.0,203.37,23.56,-0.05703202777989835,E: Pre-monsoon Storms
2023,7,0.78,2.01,255.83,18.64,-0.031620210536779436,C: Warm & Humid
