year,month,evap,rain,soilMoist,temp,date,time_index,cluster,PC1,PC2,weather_regime,anomaly_label,anomaly_score,is_anomaly
2000,7,5.54,16.85,337.32,29.56,2000-07-01,7,3,3.491158344291613,-0.35530024661495696,D: Extreme Rainfall,-1,-0.03620024298838387,True
2000,8,5.15,18.12,338.31,28.97,2000-08-01,8,3,3.420795078455417,-0.5134647030972981,D: Extreme Rainfall,-1,-0.01691788387609605,True
2002,7,4.64,22.75,346.55,28.37,2002-07-01,31,3,3.67553463030229,-0.8761860480295007,D: Extreme Rainfall,-1,-0.09374251620381124,True
2003,1,0.78,0.67,196.3,13.65,2003-01-01,37,1,-2.313493729726783,-0.7778384335496619,B: Cold & Dry,-1,-0.005379796228030087,True
2003,7,5.26,22.67,342.02,28.0,2003-07-01,43,3,3.836404539597396,-0.8499098334479275,D: Extreme Rainfall,-1,-0.09224723561042847,True
2005,6,3.94,7.74,224.64,32.19,2005-06-01,66,4,1.2302022792326053,1.441351876464384,A: Hot & Dry,-1,-0.04944177857770926,True
2005,7,5.57,13.16,317.1,29.49,2005-07-01,67,3,2.9778727653005848,-0.019920755673534924,D: Extreme Rainfall,-1,-0.0018680755270152893,True
2006,6,5.27,12.72,302.01,30.41,2006-06-01,78,3,2.7571365646602044,0.26861082949263065,D: Extreme Rainfall,-1,-0.02443032013668678,True
2007,2,1.75,2.62,232.77,15.79,2007-02-01,86,1,-1.2684712982279585,-0.8786482542339856,B: Cold & Dry,-1,-0.014023371264642148,True
2007,9,3.51,13.45,323.28,25.27,2007-09-01,93,3,1.944638673863548,-0.7873721504712811,D: Extreme Rainfall,-1,-0.003758030491378017,True
2008,6,4.34,16.14,301.18,28.08,2008-06-01,102,3,2.524897800497685,-0.22040857065109776,D: Extreme Rainfall,-1,-0.027844915574766427,True
2009,4,1.01,0.22,155.33,30.04,2009-04-01,112,2,-1.3721239785358035,1.9927638640725795,E: Pre-monsoon Storms,-1,-0.059648734399393444,True
2009,6,4.3,7.06,255.98,31.95,2009-06-01,114,4,1.5714629407388427,1.1244088643834942,A: Hot & Dry,-1,-0.02387807492642169,True
2009,7,5.06,19.27,329.15,28.53,2009-07-01,115,3,3.374214039288367,-0.5269911758590485,D: Extreme Rainfall,-1,-0.013077436459091651,True
2010,4,1.54,1.33,173.61,31.18,2010-04-01,124,2,-0.8142427430518807,1.9489679461431533,E: Pre-monsoon Storms,-1,-0.03930952335166027,True
2014,6,5.22,9.32,274.4,31.8,2014-06-01,174,4,2.285399034464462,0.8728176003207935,A: Hot & Dry,-1,-0.06766757762095477,True
2018,8,4.21,17.17,340.81,27.4,2018-08-01,224,3,2.8752221913354754,-0.7705644795452921,D: Extreme Rainfall,-1,-0.003737439400845921,True
2020,5,1.17,0.0,152.11,26.6,2020-05-01,245,2,-1.625502507134537,1.5547776656704593,E: Pre-monsoon Storms,-1,-0.025099440708737153,True
2020,7,2.26,0.0,162.89,27.74,2020-07-01,247,2,-1.0219669990690683,1.6551304050832267,E: Pre-monsoon Storms,-1,-0.02547515942889511,True
2021,1,0.57,0.26,164.09,15.91,2021-01-01,253,1,-2.548545473427693,-0.11933442966306243,B: Cold & Dry,-1,-0.03331319738622074,True
2021,2,0.53,0.26,156.03,18.03,2021-02-01,254,1,-2.473214158391805,0.26225611440584745,B: Cold & Dry,-1,-0.054879935884903475,True
2021,3,0.53,0.52,149.26,22.9,2021-03-01,255,2,-2.1349028131772787,1.0120129603239785,E: Pre-monsoon Storms,-1,-0.08455127748526459,True
2021,5,3.01,8.54,241.51,25.97,2021-05-01,257,4,0.6191421196925032,0.3141197248314892,A: Hot & Dry,-1,-0.0056553671124153215,True
2022,6,4.29,0.04,227.79,30.6,2022-06-01,270,4,0.5683684739138805,1.48072753025081,A: Hot & Dry,-1,-0.025748568514722292,True
2022,8,3.83,20.49,342.25,25.46,2022-08-01,272,3,2.8954140008980516,-1.198695351408277,D: Extreme Rainfall,-1,-0.07247799971433488,True
2023,4,1.72,3.53,181.92,22.02,2023-04-01,280,2,-1.176507900564533,0.49488154658499267,E: Pre-monsoon Storms,-1,-0.005581052681295273,True
2023,6,2.99,0.0,201.89,32.54,2023-06-01,282,2,-0.018481670260031,1.9644708874683858,E: Pre-monsoon Storms,-1,-0.053857356493194564,True
2023,7,0.99,3.29,298.17,24.17,2023-07-01,283,0,-0.2599056878687283,-0.4297351062970474,C: Warm & Humid,-1,-0.07548233090197409,True
