year,month,evap,rain,soilMoist,temp,date,time_index,cluster,PC1,PC2,weather_regime,anomaly_label,anomaly_score,is_anomaly
2000,1,1.12,0.27,205.28,13.48,2000-01-01,1,1,-2.151407259975767,-0.8644924528644582,B: Cold & Dry,1,0.07549434187079829,False
2000,2,1.14,0.32,196.34,13.69,2000-02-01,2,1,-2.203907374618202,-0.743102495841957,B: Cold & Dry,1,0.05891753949413642,False
2000,3,1.18,0.48,175.75,20.65,2000-03-01,3,1,-1.823166299753902,0.45100363752903944,B: Cold & Dry,1,0.07569826342110286,False
2000,4,1.97,2.3,184.35,28.25,2000-04-01,4,2,-0.6898803816381861,1.4077677993755233,E: Pre-monsoon Storms,1,0.04026430192624181,False
2000,5,4.35,8.85,252.97,29.62,2000-05-01,5,4,1.5466896373751715,0.7629294034943737,A: Hot & Dry,1,0.035213658717536345,False
2000,6,5.27,14.57,317.34,29.74,2000-06-01,6,3,3.012827127390868,-0.05237552113310566,D: Extreme Rainfall,1,0.000493652003496825,False
2000,7,5.54,16.85,337.32,29.56,2000-07-01,7,3,3.491158344291613,-0.35530024661495696,D: Extreme Rainfall,-1,-0.03620024298838387,True
2000,8,5.15,18.12,338.31,28.97,2000-08-01,8,3,3.420795078455417,-0.5134647030972981,D: Extreme Rainfall,-1,-0.01691788387609605,True
2000,9,4.43,7.8,317.17,26.63,2000-09-01,9,3,1.83208560908181,-0.2829203993800365,D: Extreme Rainfall,1,0.05969160575813198,False
2000,10,2.54,0.85,256.9,22.1,2000-10-01,10,0,-0.42137647503682857,-0.1343470730963853,C: Warm & Humid,1,0.052103429967711334,False
2000,11,1.75,0.1,235.3,16.58,2000-11-01,11,1,-1.4142772654072193,-0.7011815396807083,B: Cold & Dry,1,0.08143288220763567,False
2000,12,1.06,0.01,212.52,12.43,2000-12-01,12,1,-2.2136134164137515,-1.0813485931788922,B: Cold & Dry,1,0.04698586566771484,False
2001,1,1.09,0.57,212.0,11.33,2001-01-01,13,1,-2.240682300824533,-1.2506437333914844,B: Cold & Dry,1,0.014013499639788152,False
2001,2,1.22,0.65,196.68,15.82,2001-02-01,14,1,-1.9756663835630108,-0.4535269529508616,B: Cold & Dry,1,0.0839204806462222,False
2001,3,1.36,0.55,186.36,20.28,2001-03-01,15,1,-1.6802720521753924,0.29460042707176654,B: Cold & Dry,1,0.08107134485151951,False
2001,4,1.64,1.23,174.69,25.51,2001-04-01,16,2,-1.2128895581531742,1.1437354086564182,E: Pre-monsoon Storms,1,0.044692565665261696,False
2001,5,4.03,6.8,239.85,27.95,2001-05-01,17,4,0.9894580806614998,0.7223278446406411,A: Hot & Dry,1,0.047297008676708385,False
2001,6,4.63,11.01,291.0,28.51,2001-06-01,18,3,2.1095434771400745,0.14634886177197315,D: Extreme Rainfall,1,0.023108818748089066,False
2001,7,4.56,18.34,337.46,28.91,2001-07-01,19,3,3.2022919541744104,-0.5485928149348254,D: Extreme Rainfall,1,0.0005963903501713386,False
2001,8,4.78,16.73,337.73,28.65,2001-08-01,20,3,3.122278485384832,-0.5192600209819689,D: Extreme Rainfall,1,0.025708675326081232,False
2001,9,4.58,8.37,317.16,27.26,2001-09-01,21,3,1.9900924572248537,-0.2074776542894839,D: Extreme Rainfall,1,0.05196352556752504,False
2001,10,2.94,2.27,277.84,23.95,2001-10-01,22,0,0.193797768869187,-0.12255865431976672,C: Warm & Humid,1,0.0563588381411923,False
2001,11,1.75,0.08,231.79,19.94,2001-11-01,23,1,-1.1885266911937387,-0.18864654939625297,B: Cold & Dry,1,0.08654280451107005,False
2001,12,1.1,0.08,210.88,15.81,2001-12-01,24,1,-1.9458488918098948,-0.5867682243890319,B: Cold & Dry,1,0.09048290973536999,False
2002,1,1.02,0.72,208.45,14.66,2002-01-01,25,1,-2.0289553165871577,-0.7513905403134401,B: Cold & Dry,1,0.05893200715285324,False
2002,2,1.54,1.26,217.23,17.1,2002-02-01,26,1,-1.512523420841722,-0.49254639247578275,B: Cold & Dry,1,0.06768751801338829,False
