year,month,evap,rain,soilMoist,temp,date,time_index,cluster,PC1,PC2,weather_regime,anomaly_label,anomaly_score,is_anomaly
2000,1,0.57,0.3,246.83,-8.5,2000-01-01,1,2,-2.878570392038982,-1.374004742877862,B: Cold & Dry,-1,-0.07985903997333177,True
2000,2,0.66,0.54,247.62,-7.96,2000-02-01,2,2,-2.739031625425587,-1.3056931378992624,B: Cold & Dry,-1,-0.05357278184732728,True
2000,3,1.06,0.66,233.05,-4.11,2000-03-01,3,2,-2.3077274109638934,-0.557428239744378,B: Cold & Dry,-1,-0.010081700102907876,True
2000,4,2.06,2.74,243.1,1.19,2000-04-01,4,1,-0.8781020356045512,0.1866352260181716,E: Pre-monsoon Storms,-1,-0.0037739618097497596,True
2000,5,2.89,7.18,284.21,4.43,2000-05-01,5,0,0.9120345931283592,0.010565119368039234,A: Hot & Dry,-1,-0.03237601913777832,True
2000,6,3.06,7.94,309.58,7.17,2000-06-01,6,4,1.6883342566645616,-0.12300703112144776,D: Extreme Rainfall,-1,-0.0067340005498814914,True
2000,7,2.56,11.45,322.49,7.19,2000-07-01,7,4,1.9836402812914606,-0.9726504632281726,D: Extreme Rainfall,-1,-0.02684668091291298,True
2000,8,2.52,13.1,328.8,7.38,2000-08-01,8,4,2.2472282075388637,-1.2237405301151412,D: Extreme Rainfall,-1,-0.06415149582746849,True
2000,9,2.32,8.82,319.35,5.55,2000-09-01,9,4,1.354646024089072,-0.9813556214046795,D: Extreme Rainfall,-1,-0.011296720453945475,True
2000,10,2.02,1.16,285.86,5.71,2000-10-01,10,1,-0.07391281916608494,-0.03230706385862765,E: Pre-monsoon Storms,1,0.07812890782511067,False
2000,11,1.15,0.0,262.14,0.86,2000-11-01,11,2,-1.4594317246193633,-0.5313556951059429,B: Cold & Dry,1,0.06887531234572009,False
2000,12,0.71,0.01,247.01,-1.43,2000-12-01,12,2,-2.116454845006931,-0.7782157478598398,B: Cold & Dry,1,0.07979752754958358,False
2001,1,0.68,0.56,246.32,-2.85,2001-01-01,13,2,-2.2236202356404444,-0.9320238236065045,B: Cold & Dry,1,0.06129624994283761,False
2001,2,0.9,0.5,235.06,0.66,2001-02-01,14,2,-1.9003685162668387,-0.3686736582718341,B: Cold & Dry,1,0.11248442736968811,False
2001,3,1.33,0.89,233.95,2.21,2001-03-01,15,2,-1.4853715492846455,0.025896766725023574,B: Cold & Dry,1,0.11071731815302904,False
2001,4,2.11,2.67,227.66,6.66,2001-04-01,16,1,-0.500096390777421,0.8216599557121524,E: Pre-monsoon Storms,1,0.06232397180848381,False
2001,5,3.03,7.02,292.46,10.28,2001-05-01,17,0,1.667411510951427,0.39479244955024523,A: Hot & Dry,1,0.05809218772109398,False
2001,6,2.31,7.3,289.25,13.02,2001-06-01,18,0,1.5548398379049997,0.08521908656338002,A: Hot & Dry,1,0.05613783402507866,False
2001,7,2.18,15.94,333.52,13.86,2001-07-01,19,3,3.1042037865329735,-1.3481793670563664,C: Warm & Humid,-1,-0.0023261304847556064,True
2001,8,2.33,12.23,329.94,13.58,2001-08-01,20,3,2.69317553493867,-0.886759594771429,C: Warm & Humid,1,0.04578253898280882,False
2001,9,2.41,5.96,314.46,11.22,2001-09-01,21,4,1.5950315692078632,-0.21883201078342607,D: Extreme Rainfall,1,0.06649226778433565,False
2001,10,2.02,2.3,294.12,8.84,2001-10-01,22,1,0.47705771669403507,-0.04269609707040394,E: Pre-monsoon Storms,1,0.08436131769168703,False
