year,month,evap,rain,soilMoist,temp,date,time_index,cluster,PC1,PC2,weather_regime,anomaly_label,anomaly_score,is_anomaly
2000,1,0.89,0.25,225.44,4.7,2000-01-01,1,1,-2.469656578362457,-1.364882167585721,B: Cold & Dry,-1,-0.016494409736377835,True
2000,2,1.0,0.42,223.51,5.48,2000-02-01,2,1,-2.349333097964209,-1.2200315113192186,B: Cold & Dry,1,0.005367364628381277,False
2000,3,1.21,0.54,203.27,10.05,2000-03-01,3,1,-2.0227281324642017,-0.27327615012815404,B: Cold & Dry,1,0.08305361609146017,False
2000,4,2.15,2.76,211.29,16.4,2000-04-01,4,3,-0.6817412088270424,0.5346288391175149,E: Pre-monsoon Storms,1,0.048889282113648014,False
2000,5,4.05,6.94,258.81,18.43,2000-05-01,5,4,1.293742357445918,0.24968990575125807,A: Hot & Dry,1,0.0003400832230284756,False
2000,6,4.54,8.46,299.65,20.6,2000-06-01,6,2,2.308506162264859,-0.01772125530268269,D: Extreme Rainfall,1,0.014462255269873936,False
2000,7,4.26,12.87,328.31,20.47,2000-07-01,7,2,2.9728205810874058,-0.7496270321723191,D: Extreme Rainfall,1,0.017275435576408482,False
2000,8,4.12,12.27,329.2,20.83,2000-08-01,8,2,2.888733182909315,-0.7010352811403625,D: Extreme Rainfall,1,0.04417640786855209,False
2000,9,3.7,6.72,311.67,18.01,2000-09-01,9,2,1.631655028828174,-0.5914302792871224,D: Extreme Rainfall,1,0.0033082938510469173,False
2000,10,2.53,0.95,262.52,16.05,2000-10-01,10,0,-0.22050800224028838,-0.046289598919994866,C: Warm & Humid,1,0.07131839331796408,False
2000,11,1.39,0.01,238.93,10.62,2000-11-01,11,1,-1.57824348808774,-0.6237985705785921,B: Cold & Dry,1,0.08802520935690544,False
2000,12,0.84,0.0,222.84,7.09,2000-12-01,12,1,-2.319120064346313,-0.9904711301145596,B: Cold & Dry,1,0.01989911996301752,False
2001,1,0.9,0.56,223.17,5.96,2001-01-01,13,1,-2.3343170611085586,-1.175096828145124,B: Cold & Dry,1,0.015791505437961317,False
2001,2,0.99,0.45,207.9,10.8,2001-02-01,14,1,-2.007426293472792,-0.26751439162715535,B: Cold & Dry,1,0.10168506006395045,False
2001,3,1.34,0.66,204.96,13.36,2001-03-01,15,1,-1.6209710824265735,0.17983228832742998,B: Cold & Dry,1,0.08741262487450147,False
2001,4,2.11,2.39,200.67,18.86,2001-04-01,16,3,-0.6176389750207335,1.0389847713776628,E: Pre-monsoon Storms,1,0.06158680674078931,False
2001,5,4.06,6.24,258.5,21.49,2001-05-01,17,4,1.506950874504547,0.723509704272959,A: Hot & Dry,1,0.050704682729163786,False
2001,6,3.86,7.78,284.31,23.46,2001-06-01,18,4,2.052032620344133,0.5106568663515436,A: Hot & Dry,1,0.01791644885505589,False
2001,7,3.69,14.55,332.5,23.84,2001-07-01,19,2,3.2821968290449446,-0.5434692810894506,D: Extreme Rainfall,-1,-0.050648924675212315,True
2001,8,4.06,11.9,331.19,23.72,2001-08-01,20,2,3.117008171871269,-0.31529217912724167,D: Extreme Rainfall,-1,-0.029430324311218392,True
2001,9,4.04,6.66,313.8,21.99,2001-09-01,21,2,2.171469116359715,-0.0024306153707144415,D: Extreme Rainfall,1,0.052528898161746995,False
2001,10,2.61,1.98,280.05,18.9,2001-10-01,22,0,0.38424399987101404,0.05937633119485313,C: Warm & Humid,1,0.07706898971824472,False
2001,11,1.47,0.0,235.32,15.33,2001-11-01,23,1,-1.134821227458199,0.09624720972211051,B: Cold & Dry,1,0.09005561206362583,False
2001,12,0.97,0.15,221.03,11.7,2001-12-01,24,1,-1.8269239066914869,-0.30988893966963715,B: Cold & Dry,1,0.10557194248127416,False
2002,1,0.8,0.52,215.08,9.73,2002-01-01,25,1,-2.1076835093885635,-0.5543992770822302,B: Cold & Dry,1,0.07593275119988796,False
2002,2,1.25,0.98,224.01,10.99,2002-02-01,26,1,-1.6497312249416873,-0.44934857975029496,B: Cold & Dry,1,0.08150581461298317,False
2002,3,1.9,1.52,224.95,16.21,2002-03-01,27,3,-0.803909106201619,0.3484399122726295,E: Pre-monsoon Storms,1,0.07550663522398804,False
2002,4,2.41,2.37,214.86,20.4,2002-04-01,28,3,-0.19645394965495733,1.1118850770721553,E: Pre-monsoon Storms,1,0.07634771181247657,False
2002,5,3.55,3.91,240.91,22.24,2002-05-01,29,4,0.9131560489444804,1.1199131946915728,A: Hot & Dry,1,0.06077454734128429,False
2002,6,4.11,7.96,270.49,23.51,2002-06-01,30,4,2.0397406601265855,0.7435185181170011,A: Hot & Dry,1,0.014752264182697039,False
2002,7,3.71,21.32,340.63,23.48,2002-07-01,31,2,4.104565119397658,-1.1108622132709451,D: Extreme Rainfall,-1,-0.14578114246667617,True
2002,8,3.74,13.54,332.54,22.95,2002-08-01,32,2,3.1055577636854976,-0.5978332035231023,D: Extreme Rainfall,-1,-0.0034119299492859634,True
2002,9,3.32,4.48,300.12,21.62,2002-09-01,33,4,1.438915119133108,0.13702086544840417,A: Hot & Dry,1,0.05822297418063843,False
2002,10,2.8,1.3,276.63,17.91,2002-10-01,34,0,0.25912074470733565,0.044479732344489716,C: Warm & Humid,1,0.06289317066814615,False
2002,11,1.38,0.01,238.29,12.77,2002-11-01,35,1,-1.3847193261267232,-0.3177717787521448,B: Cold & Dry,1,0.09760020797428742,False
2002,12,0.89,0.06,222.2,9.82,2002-12-01,36,1,-2.037946690239743,-0.5965633419228168,B: Cold & Dry,1,0.08715063925457911,False
2003,1,0.82,0.72,220.98,8.64,2003-01-01,37,1,-2.118558774616216,-0.7961924907184182,B: Cold & Dry,1,0.056560490057914636,False
2003,2,1.25,1.67,235.87,9.64,2003-02-01,38,1,-1.5763675179037524,-0.8430733323634881,B: Cold & Dry,1,0.030251464987990417,False
2003,3,1.91,1.61,233.76,13.54,2003-03-01,39,1,-0.9513282255218003,-0.1485675388759198,B: Cold & Dry,1,0.05728863447490967,False
2003,4,2.65,2.03,227.9,19.33,2003-04-01,40,3,-0.09733430306788683,0.8462464139883374,E: Pre-monsoon Storms,1,0.08267034812257801,False
2003,5,2.91,1.56,214.51,20.37,2003-05-01,41,3,-0.07993800942793107,1.2518158888842212,E: Pre-monsoon Storms,1,0.06133354983258704,False
2003,6,3.67,6.17,238.76,21.31,2003-06-01,42,4,1.1083749922000168,0.9058053802112124,A: Hot & Dry,1,0.05377505764384838,False
2003,7,3.46,17.4,329.81,20.62,2003-07-01,43,2,3.1704231618859033,-1.1673858887639903,D: Extreme Rainfall,-1,-0.0252799731936596,True
