year,month,evap,rain,soilMoist,temp,date,time_index,cluster,PC1,PC2,weather_regime,anomaly_label,anomaly_score,is_anomaly
2000,1,0.94,0.25,221.42,3.49,2000-01-01,1,1,-2.5321637126923124,-1.3433464441342249,B: Cold & Dry,-1,-0.009608527744087603,True
2000,2,1.04,0.31,216.51,3.38,2000-02-01,2,1,-2.5371708070316727,-1.2728494150241951,B: Cold & Dry,-1,-0.006572081651623929,True
2000,9,3.67,7.92,316.42,17.07,2000-09-01,9,0,1.861030727277649,-0.6158659345441733,D: Extreme Rainfall,-1,-0.00964826332864932,True
2001,7,3.17,15.66,331.67,22.28,2001-07-01,19,0,3.085791328577487,-0.6709192696022916,D: Extreme Rainfall,-1,-0.03740116920131764,True
2001,8,3.67,13.82,333.23,22.15,2001-08-01,20,0,3.1384703785139747,-0.492588696216062,D: Extreme Rainfall,-1,-0.0024935563756239842,True
2002,7,3.08,16.9,331.38,21.92,2002-07-01,31,0,3.1350879630254336,-0.8063428655583991,D: Extreme Rainfall,-1,-0.03306899939292951,True
2003,7,2.73,18.22,328.08,19.57,2003-07-01,43,0,2.8451916776935424,-1.2327260643457223,D: Extreme Rainfall,-1,-0.018956350988990955,True
2003,9,2.24,10.83,330.37,18.65,2003-09-01,45,0,1.763899370654627,-1.0776021773079205,D: Extreme Rainfall,-1,-0.017295919577069885,True
2004,7,2.66,15.8,330.62,19.15,2004-07-01,55,0,2.5417045930751776,-1.2018116953532596,D: Extreme Rainfall,-1,-0.007405447352491268,True
2004,10,2.49,3.09,292.7,13.6,2004-10-01,58,2,0.20738784611367198,-0.7543555469625786,E: Pre-monsoon Storms,-1,-0.0049141899976852255,True
2005,6,3.35,7.09,234.92,22.85,2005-06-01,66,4,1.3527063411930524,1.2403061878267216,A: Hot & Dry,-1,-0.010012879332281788,True
2009,8,2.82,15.48,337.01,19.98,2009-08-01,116,0,2.729730536915601,-1.1219080237556123,D: Extreme Rainfall,-1,-0.011615009899562101,True
2013,8,4.67,13.03,328.44,19.89,2013-08-01,164,0,3.276563633576495,-0.4634941863788083,D: Extreme Rainfall,-1,-0.003087723951624155,True
2014,6,4.98,7.81,260.98,22.01,2014-06-01,174,4,2.4026334600385963,1.1001488444473084,A: Hot & Dry,-1,-0.06742611253615094,True
2014,7,4.49,16.6,324.32,21.08,2014-07-01,175,0,3.637505373532097,-0.49067400385073373,D: Extreme Rainfall,-1,-0.01294641540889585,True
2015,7,4.4,14.33,319.38,21.44,2015-07-01,187,0,3.339663311473329,-0.26647517438854673,D: Extreme Rainfall,-1,-0.0005673619949108089,True
2016,8,4.62,9.12,324.53,21.16,2016-08-01,200,0,2.923220561525727,-0.028091404259890238,D: Extreme Rainfall,-1,-0.0001505181479679596,True
2018,7,4.05,22.03,339.12,21.67,2018-07-01,223,0,4.200562767543474,-1.0185177279632245,D: Extreme Rainfall,-1,-0.1323119016635912,True
2018,8,3.68,18.55,340.46,20.96,2018-08-01,224,0,3.5997435258810726,-1.017642421397926,D: Extreme Rainfall,-1,-0.05413067912468905,True
2019,7,3.73,15.3,306.39,20.59,2019-07-01,235,0,2.9037547518686027,-0.4114695491779639,D: Extreme Rainfall,-1,-0.0010708315806149393,True
2020,5,1.34,0.0,163.75,16.91,2020-05-01,245,3,-1.6566814177981812,1.3512029290139496,C: Warm & Humid,-1,-0.019475084001046805,True
2020,7,1.86,0.0,152.21,20.65,2020-07-01,247,3,-1.161129320623621,2.128736784119096,C: Warm & Humid,-1,-0.08256610076632742,True
2021,1,0.65,0.17,178.18,9.87,2021-01-01,253,1,-2.5045140588756767,0.041279211336312134,B: Cold & Dry,-1,-0.02579679538971935,True
2021,2,0.67,0.3,166.58,11.12,2021-02-01,254,1,-2.4778813057806572,0.3637702879027888,B: Cold & Dry,-1,-0.050049637010733394,True
2021,3,0.73,0.46,153.88,15.43,2021-03-01,255,3,-2.146146389594054,1.1215072214194726,C: Warm & Humid,-1,-0.09245306070753967,True
2021,5,2.04,7.01,225.49,18.29,2021-05-01,257,2,0.17498336272493892,0.46235021898175804,E: Pre-monsoon Storms,-1,-0.01183635641057379,True
2021,8,4.37,5.57,330.86,20.75,2021-08-01,260,0,2.4523613945481997,-0.02316293252156004,D: Extreme Rainfall,-1,-0.012728067610450533,True
2023,6,2.73,0.0,203.37,23.56,2023-06-01,282,2,0.05572923507937338,2.0261757383294987,E: Pre-monsoon Storms,-1,-0.05703202777989835,True
2023,7,0.78,2.01,255.83,18.64,2023-07-01,283,3,-0.6251489415973921,0.10129866810169132,C: Warm & Humid,-1,-0.031620210536779436,True
