year,month,evap,rain,soilMoist,temp,date,time_index,cluster,PC1,PC2,weather_regime,anomaly_label,anomaly_score,is_anomaly
2001,1,0.85,0.6,222.06,4.49,2001-01-01,13,1,-2.4835204540510016,1.130969738036193,B: Cold & Dry,-1,-0.005680179866974555,True
2001,7,3.62,15.43,331.31,22.54,2001-07-01,19,2,3.385312542715763,0.6112796933123675,D: Extreme Rainfall,-1,-0.03211193186007333,True
2001,8,3.96,12.86,330.54,22.39,2001-08-01,20,2,3.2469099159079153,0.3434279853103252,D: Extreme Rainfall,-1,-0.025146925536436382,True
2002,6,4.14,9.05,278.43,22.38,2002-06-01,30,3,2.358566861005464,-0.7090651773707535,A: Hot & Dry,-1,-0.0002231699741971349,True
2002,7,3.67,22.1,340.29,22.11,2002-07-01,31,2,4.189929860352163,1.2347812486201233,D: Extreme Rainfall,-1,-0.13160928200527722,True
2003,7,3.64,17.79,325.37,19.74,2003-07-01,43,2,3.3170477132346887,1.0350783234233587,D: Extreme Rainfall,-1,-0.00902854432284983,True
2004,7,3.7,17.59,335.3,19.32,2004-07-01,55,2,3.390249118948044,1.1976679578484333,D: Extreme Rainfall,-1,-0.03645373767428395,True
2005,6,3.47,7.02,236.57,23.39,2005-06-01,66,3,1.4626955209169668,-1.372816767097136,A: Hot & Dry,-1,-0.028518826553611043,True
2005,7,4.86,8.37,295.96,21.39,2005-07-01,67,2,2.724342437157807,-0.5935522883801853,D: Extreme Rainfall,-1,-0.020457470533086664,True
2006,6,4.83,9.52,284.42,22.06,2006-06-01,78,2,2.775855339022516,-0.7542756074667012,D: Extreme Rainfall,-1,-0.03699455869779622,True
2007,2,1.41,2.6,244.59,8.94,2007-02-01,86,1,-1.3233916192762973,0.8630566232378458,B: Cold & Dry,-1,-0.013938021735903527,True
2009,3,1.0,0.54,178.83,16.61,2009-03-01,111,4,-1.709559333189539,-1.0570566918295756,E: Pre-monsoon Storms,-1,-0.012483994493463269,True
2009,4,1.48,0.51,179.58,21.7,2009-04-01,112,4,-0.9808786087956863,-1.830309332839532,E: Pre-monsoon Storms,-1,-0.02257666109562173,True
2010,4,2.02,1.85,196.63,22.74,2010-04-01,124,4,-0.2909306860974391,-1.7860400241913266,E: Pre-monsoon Storms,-1,-0.019174607662708287,True
2014,6,4.68,7.61,270.25,22.24,2014-06-01,174,3,2.360938160647578,-1.0648403435785385,A: Hot & Dry,-1,-0.03280572411342164,True
2014,7,3.68,17.41,332.05,21.04,2014-07-01,175,2,3.4925022741720326,0.9285236790846227,D: Extreme Rainfall,-1,-0.002094849175885538,True
2016,7,1.13,14.93,337.93,19.99,2016-07-01,199,2,1.9544492738199677,1.7237394004507094,D: Extreme Rainfall,-1,-0.09635905426723002,True
2016,9,1.65,9.38,326.95,18.82,2016-09-01,201,2,1.3703220485000236,1.1824445407853417,D: Extreme Rainfall,-1,-0.016884613782233715,True
2018,7,2.33,21.14,343.3,20.79,2018-07-01,223,2,3.3438626883138354,1.7717341419690968,D: Extreme Rainfall,-1,-0.12395692506579625,True
2018,8,2.04,15.49,338.3,20.22,2018-08-01,224,2,2.480475915804099,1.4709859242352499,D: Extreme Rainfall,-1,-0.02632575506141921,True
2019,7,3.27,16.56,317.72,20.74,2019-07-01,235,2,3.0193596058218826,0.8250616427601859,D: Extreme Rainfall,-1,-0.0013826746527204614,True
2020,5,1.6,0.0,175.33,17.8,2020-05-01,245,4,-1.401411211171314,-1.4698372344445028,E: Pre-monsoon Storms,-1,-0.01445136739939834,True
2020,7,2.34,0.0,173.41,20.91,2020-07-01,247,4,-0.7642894757596979,-2.1060758335488097,E: Pre-monsoon Storms,-1,-0.039861565018403655,True
2021,1,0.66,0.25,187.96,10.29,2021-01-01,253,1,-2.4184052793886144,-0.05166723374732372,B: Cold & Dry,-1,-0.012749924733104545,True
2021,2,0.69,0.27,175.47,11.67,2021-02-01,254,1,-2.4024116407918568,-0.4102404561981911,B: Cold & Dry,-1,-0.05374621673850988,True
2021,3,0.73,0.49,160.14,16.1,2021-03-01,255,4,-2.0952907491813484,-1.1823840319520469,E: Pre-monsoon Storms,-1,-0.11426797589151916,True
2022,8,1.51,10.96,324.65,19.68,2022-08-01,272,2,1.533186549505888,1.190783617148007,D: Extreme Rainfall,-1,-0.020034467664148625,True
2023,6,2.64,0.0,200.03,24.03,2023-06-01,282,4,-0.03187321327080363,-2.2089503370427126,E: Pre-monsoon Storms,-1,-0.06916170950600131,True
2023,7,0.79,1.72,265.37,19.19,2023-07-01,283,0,-0.5034027251140408,-0.010317314543138058,C: Warm & Humid,-1,-0.03947600127278594,True
