year,month,evap,rain,soilMoist,temp,date,time_index,cluster,PC1,PC2,weather_regime,anomaly_label,anomaly_score,is_anomaly
2000,1,0.78,0.28,225.9,4.31,2000-01-01,1,0,-2.4732781388888627,-1.3723716822144147,B: Cold & Dry,-1,-0.0139577287714856,True
2000,2,0.86,0.32,222.63,3.7,2000-02-01,2,0,-2.531277191350334,-1.3981914155753206,B: Cold & Dry,-1,-0.020715336263596562,True
2000,5,4.12,8.25,255.49,18.29,2000-05-01,5,1,1.3293143598252968,0.26004576697681625,A: Hot & Dry,-1,-0.017734313827545534,True
2000,8,4.48,15.6,337.35,20.42,2000-08-01,8,3,3.327147161899,-0.9567394257742735,D: Extreme Rainfall,-1,-0.017781319256050088,True
2000,9,4.07,8.39,318.23,18.04,2000-09-01,9,3,1.9619815148063602,-0.6318072691976055,D: Extreme Rainfall,-1,-0.008643985424685807,True
2001,7,3.48,15.22,335.3,22.75,2001-07-01,19,3,3.1034229347921842,-0.7852060584076411,D: Extreme Rainfall,-1,-0.012273538713055254,True
2002,8,3.58,16.94,338.47,22.4,2002-08-01,32,3,3.3269786361090423,-0.9680259391890155,D: Extreme Rainfall,-1,-0.021801741674716713,True
2003,7,2.69,17.52,333.74,20.79,2003-07-01,43,3,2.841745735774583,-1.33571587434096,D: Extreme Rainfall,-1,-0.03296106800081444,True
2003,9,2.15,11.07,332.84,19.81,2003-09-01,45,3,1.83499209054805,-1.1400729913174992,D: Extreme Rainfall,-1,-0.023188248746518703,True
2004,10,2.5,3.35,291.74,14.57,2004-10-01,58,2,0.2010499462845181,-0.7259903075013966,E: Pre-monsoon Storms,-1,-0.004911197624228647,True
2006,7,3.62,12.12,324.57,23.28,2006-07-01,79,3,2.7613669190155385,-0.3393725119465773,D: Extreme Rainfall,-1,-0.010235338184918508,True
2007,2,1.47,2.71,244.16,9.38,2007-02-01,86,0,-1.2654090984263509,-0.9532830775017801,B: Cold & Dry,-1,-0.0015521183624527257,True
2009,7,2.96,15.41,323.24,22.03,2009-07-01,115,3,2.7271806689614175,-0.8360718739891644,D: Extreme Rainfall,-1,-7.222853233179727e-05,True
2009,8,2.68,15.11,337.81,21.46,2009-08-01,116,3,2.6855938055680517,-1.1434869093206983,D: Extreme Rainfall,-1,-0.003066682043996183,True
2014,6,5.56,8.25,266.85,22.94,2014-06-01,174,1,2.4513271976357918,1.0209893303427893,A: Hot & Dry,-1,-0.05977190411487476,True
2014,7,5.15,14.93,325.34,22.53,2014-07-01,175,3,3.5896695004663512,-0.33477516504452604,D: Extreme Rainfall,-1,-0.016867611072732935,True
2015,7,5.24,12.46,311.58,22.78,2015-07-01,187,3,3.23735779782889,0.06255759026077366,D: Extreme Rainfall,-1,-0.03272394199111783,True
2016,8,5.24,9.34,325.44,22.55,2016-08-01,200,3,3.0251029167621635,0.050404493044728646,D: Extreme Rainfall,-1,-0.008488983948558237,True
2018,6,4.77,7.5,265.8,23.23,2018-06-01,222,1,2.082923174868917,0.9682560919654855,A: Hot & Dry,-1,-0.0058752824653052205,True
2018,7,4.99,19.58,340.06,22.85,2018-07-01,223,3,4.214819149712918,-0.8242556991680474,D: Extreme Rainfall,-1,-0.11124389766317822,True
2018,8,4.72,19.53,343.42,22.23,2018-08-01,224,3,4.081121605564102,-1.0029487366473495,D: Extreme Rainfall,-1,-0.09182271692356969,True
2019,6,3.83,4.94,216.54,22.87,2019-06-01,234,2,0.8913280150048014,1.5612330914948305,E: Pre-monsoon Storms,-1,-0.005334533764605465,True
2020,5,1.18,0.0,169.72,17.74,2020-05-01,245,4,-1.6489118326183065,1.295312510625686,C: Warm & Humid,-1,-0.003056874257243214,True
2020,7,1.89,0.0,146.28,21.53,2020-07-01,247,4,-1.2575542445553138,2.2617062748455927,C: Warm & Humid,-1,-0.08958217495541543,True
2021,1,0.35,0.13,178.5,11.02,2021-01-01,253,0,-2.508852409259898,0.09591496211167184,B: Cold & Dry,-1,-0.018896807941434668,True
2021,2,0.36,0.37,172.53,12.21,2021-02-01,254,0,-2.427533645237074,0.3232156716950745,B: Cold & Dry,-1,-0.022821184298341457,True
2021,3,0.41,0.53,166.37,16.53,2021-03-01,255,4,-2.040262851819189,0.9902081352567085,C: Warm & Humid,-1,-0.0485488643040799,True
2022,10,3.78,0.21,298.04,19.16,2022-10-01,274,2,0.8640454931044116,0.2687195496003703,E: Pre-monsoon Storms,-1,-0.002524975934912521,True
2023,6,2.89,0.0,200.24,24.29,2023-06-01,282,2,-0.038204002150636865,2.110489899254386,E: Pre-monsoon Storms,-1,-0.06203997227402991,True
