year,month,evap,rain,soilMoist,temp,date,time_index,cluster,PC1,PC2,weather_regime,anomaly_label,anomaly_score,is_anomaly
2000,1,0.64,0.3,235.79,-1.38,2000-01-01,1,2,-2.772739291854624,1.6243650897257593,B: Cold & Dry,-1,-0.07010438521184181,True
2000,2,0.78,0.52,238.15,-0.6,2000-02-01,2,2,-2.5718228911537264,1.532032404380234,B: Cold & Dry,-1,-0.03048949897706832,True
2000,5,3.49,6.49,272.13,11.68,2000-05-01,5,4,1.0874582061787912,0.055579100701451285,A: Hot & Dry,-1,-0.017051156648304144,True
2000,7,3.28,11.02,321.89,13.57,2000-07-01,7,1,2.2745700203614825,0.9909155292777531,D: Extreme Rainfall,-1,-0.017652728509341298,True
2000,8,3.21,13.12,327.14,13.6,2000-08-01,8,1,2.542492186719229,1.2508804811767733,D: Extreme Rainfall,-1,-0.03984863831275065,True
2000,9,2.98,7.38,311.23,11.8,2000-09-01,9,1,1.409531231598217,0.8733976726656176,D: Extreme Rainfall,-1,-0.031953975460134565,True
2001,7,2.94,13.72,329.61,19.35,2001-07-01,19,1,3.0882293495937465,0.6908526883595606,D: Extreme Rainfall,-1,-0.020807946489704743,True
2002,7,2.83,17.96,337.69,19.25,2002-07-01,31,1,3.5986731996299617,1.1873776494821975,D: Extreme Rainfall,-1,-0.07628582875399614,True
2002,8,2.97,16.81,335.91,18.83,2002-08-01,32,1,3.474270473583187,1.0798089378068767,D: Extreme Rainfall,-1,-0.033748259277416426,True
2004,7,2.26,15.87,331.78,16.51,2004-07-01,55,1,2.7333238259021337,1.4730549387582752,D: Extreme Rainfall,-1,-0.03823860594654982,True
2007,7,2.48,15.07,317.21,17.13,2007-07-01,91,1,2.6424428107377933,1.0380292099649997,D: Extreme Rainfall,-1,-7.07226677799655e-05,True
2012,6,4.09,6.5,254.58,18.93,2012-06-01,150,4,1.9121842931328596,-1.3319589295522922,A: Hot & Dry,-1,-0.03280885886904994,True
2013,6,4.21,7.87,288.21,18.15,2013-06-01,162,4,2.4443177672347485,-0.6530621978772201,A: Hot & Dry,-1,-0.002559104687906655,True
2014,6,4.81,7.68,275.2,18.81,2014-06-01,174,4,2.6327442396306773,-1.1473046972333678,A: Hot & Dry,-1,-0.09417655648809031,True
2014,7,3.83,16.15,329.65,18.07,2014-07-01,175,1,3.673932607881851,0.7483947910328723,D: Extreme Rainfall,-1,-0.00010964460808171594,True
2014,8,3.94,14.91,332.28,17.2,2014-08-01,176,1,3.5309925208018123,0.7685113380523226,D: Extreme Rainfall,-1,-0.014651202093389326,True
2016,7,2.46,15.94,336.14,17.49,2016-07-01,199,1,2.990783144557821,1.3546879753377938,D: Extreme Rainfall,-1,-0.00990610951720372,True
2018,7,3.61,20.16,339.19,18.32,2018-07-01,223,1,4.15664791007193,1.241159806332803,D: Extreme Rainfall,-1,-0.10915033440162114,True
2018,8,3.29,19.04,343.11,17.91,2018-08-01,224,1,3.8765114973635146,1.3726079009396281,D: Extreme Rainfall,-1,-0.0757227004952229,True
2019,7,3.33,15.0,315.9,18.22,2019-07-01,235,1,3.149622447340673,0.5951060415642858,D: Extreme Rainfall,-1,-1.765605196146769e-05,True
2019,8,3.26,0.0,265.85,18.55,2019-08-01,236,0,0.8611418310886235,-1.3360549137908084,E: Pre-monsoon Storms,-1,-0.015851018035753506,True
2020,5,1.21,0.0,185.6,14.21,2020-05-01,245,3,-1.5386118768335086,-1.3380962210782386,C: Warm & Humid,-1,-0.005046838224725292,True
2020,7,2.07,0.0,176.04,18.45,2020-07-01,247,3,-0.7969756970008638,-2.306205154538997,C: Warm & Humid,-1,-0.08801002902879695,True
2021,1,0.43,0.14,193.81,7.51,2021-01-01,253,2,-2.4898726835399034,-0.09290026993073337,B: Cold & Dry,-1,-0.019397977415333112,True
2021,2,0.44,0.39,185.96,8.19,2021-02-01,254,2,-2.480426743105845,-0.2836767621570071,B: Cold & Dry,-1,-0.04276266442434751,True
2021,3,0.56,0.44,175.89,12.01,2021-03-01,255,3,-2.1474916788650367,-0.959608548852819,C: Warm & Humid,-1,-0.06395339440570125,True
2022,8,1.5,7.77,322.42,17.17,2022-08-01,272,1,1.3977771915576607,0.8758209307916361,D: Extreme Rainfall,-1,-0.030493525664185173,True
2023,6,2.53,0.0,201.39,20.09,2023-06-01,282,0,-0.10440514830922472,-2.2783109011855283,E: Pre-monsoon Storms,-1,-0.07171725514659788,True
2023,7,1.2,4.12,259.95,17.06,2023-07-01,283,0,0.0883457811971075,-0.24597954937919783,E: Pre-monsoon Storms,-1,-0.03051210848096797,True
