year,month,evap,rain,soilMoist,temp,date,time_index,cluster,PC1,PC2,weather_regime,anomaly_label,anomaly_score,is_anomaly
2001,7,4.43,13.83,318.57,27.42,2001-07-01,19,1,3.082109012327822,-0.1784554635977372,D: Extreme Rainfall,-1,-0.01380597027146413,True
2001,8,4.78,11.85,329.5,27.26,2001-08-01,20,1,3.100628766680163,-0.2250999003323166,D: Extreme Rainfall,-1,-0.01771499039816604,True
2002,7,4.83,26.48,346.22,27.05,2002-07-01,31,1,4.839358627941402,-1.0819076146537199,D: Extreme Rainfall,-1,-0.1900113889210664,True
2004,7,4.37,17.51,336.63,24.12,2004-07-01,55,1,3.3462779976786274,-1.0506326500657157,D: Extreme Rainfall,-1,-0.03295514735072247,True
2005,6,4.1,7.0,228.69,28.3,2005-06-01,66,4,1.4125724407886677,1.3076399885651875,A: Hot & Dry,-1,-0.019834441746483633,True
2006,7,5.22,11.05,317.2,26.09,2006-07-01,79,1,2.966744127477881,-0.18633102510889676,D: Extreme Rainfall,-1,-0.00042857989799527374,True
2006,8,5.38,10.3,317.62,25.82,2006-08-01,80,1,2.930053682520058,-0.18842549401688358,D: Extreme Rainfall,-1,-0.008072263512405975,True
2007,2,1.52,1.87,228.46,13.6,2007-02-01,86,2,-1.4286437916694954,-0.8415243505639983,B: Cold & Dry,-1,-0.01620446501248929,True
2007,10,3.38,4.39,304.63,20.23,2007-10-01,94,0,0.8952460735084266,-0.7509330690416485,C: Warm & Humid,-1,-0.004262428953100916,True
2009,3,0.88,0.53,170.73,21.79,2009-03-01,111,3,-1.6840974895560863,1.0900819457059157,E: Pre-monsoon Storms,-1,-0.0009772383821604613,True
2009,8,4.04,15.14,339.79,23.97,2009-08-01,116,1,2.9791756634034074,-1.0324606350977392,D: Extreme Rainfall,-1,-0.010891741510386743,True
2013,5,2.48,6.15,196.36,26.59,2013-05-01,161,3,0.21730773845387782,1.366840312049236,E: Pre-monsoon Storms,-1,-0.002175937239328296,True
2013,10,2.57,4.61,297.37,19.72,2013-10-01,166,0,0.48401950061989296,-0.8050105001438691,C: Warm & Humid,-1,-0.0025736000998446418,True
2014,6,5.22,8.02,265.67,27.96,2014-06-01,174,4,2.2973686082564915,0.8445261094346618,A: Hot & Dry,-1,-0.06229445430191438,True
2014,7,4.72,16.94,332.71,25.8,2014-07-01,175,1,3.5297387980358264,-0.7039866336557855,D: Extreme Rainfall,-1,-0.01032081606804891,True
2014,8,4.74,15.88,334.65,24.89,2014-08-01,176,1,3.3641006564058897,-0.8163249883519756,D: Extreme Rainfall,-1,-0.004672194578869582,True
2015,7,4.97,18.27,332.33,25.67,2015-07-01,187,1,3.7564967158934945,-0.7584553608850568,D: Extreme Rainfall,-1,-0.03980160681284339,True
2016,7,3.36,14.44,333.43,24.61,2016-07-01,199,1,2.628416763306878,-0.8773984356776735,D: Extreme Rainfall,-1,-0.009063351724975077,True
2016,9,3.32,12.9,334.03,23.39,2016-09-01,201,1,2.3475868093133196,-1.0033924782329529,D: Extreme Rainfall,-1,-0.023728066632319744,True
2018,7,4.79,16.82,327.77,26.09,2018-07-01,223,1,3.5210889994314947,-0.591094519147686,D: Extreme Rainfall,-1,-0.0188549960534945,True
2019,7,3.8,17.12,315.39,24.96,2019-07-01,235,1,2.943724971151417,-0.691773319457435,D: Extreme Rainfall,-1,-0.021230033931361914,True
2020,5,1.29,0.0,161.95,24.33,2020-05-01,245,3,-1.4460400835955525,1.6261294724055657,E: Pre-monsoon Storms,-1,-0.02219670033126042,True
2020,7,2.46,0.0,163.47,25.41,2020-07-01,247,3,-0.8761029269673108,1.8500727210959942,E: Pre-monsoon Storms,-1,-0.04350624473100562,True
2020,12,0.59,0.26,180.18,14.58,2020-12-01,252,2,-2.357377807241754,-0.10806255044809858,B: Cold & Dry,-1,-0.006237962978570044,True
2021,1,0.49,0.22,170.24,14.17,2021-01-01,253,2,-2.5339477739427787,-0.05446011624480066,B: Cold & Dry,-1,-0.04932483044577429,True
2021,2,0.46,0.27,162.13,16.42,2021-02-01,254,2,-2.4256601204138284,0.3748464414873488,B: Cold & Dry,-1,-0.05473430230259302,True
2021,3,0.47,0.47,155.3,20.99,2021-03-01,255,3,-2.072643081578015,1.131124462127373,E: Pre-monsoon Storms,-1,-0.09117795556913766,True
2022,8,2.07,14.29,326.52,23.03,2022-08-01,272,1,1.8990040873175416,-1.112760848323676,D: Extreme Rainfall,-1,-0.10341299898607537,True
2023,6,2.74,0.0,192.08,29.99,2023-06-01,282,3,-0.0898702236631273,2.2073503650837036,E: Pre-monsoon Storms,-1,-0.05323478266801995,True
