year,month,evap,rain,soilMoist,temp,date,time_index,cluster,PC1,PC2,weather_regime,anomaly_label,anomaly_score,is_anomaly
2000,1,0.7,0.28,236.76,-5.16,2000-01-01,1,2,-2.7730840620580497,-1.2170053773931684,B: Cold & Dry,-1,-0.07719642398978832,True
2000,2,0.8,0.52,237.33,-5.09,2000-02-01,2,2,-2.685495059851677,-1.1730855861069638,B: Cold & Dry,-1,-0.06122431851479737,True
2000,3,1.15,0.68,219.92,-1.39,2000-03-01,3,2,-2.3221585203224144,-0.46611210957189286,B: Cold & Dry,-1,-0.007780784773146365,True
2000,5,3.25,8.89,275.43,7.9,2000-05-01,5,1,1.129671156462001,0.20888984143801992,E: Pre-monsoon Storms,-1,-0.061292407808229976,True
2000,7,3.02,12.95,322.83,11.23,2000-07-01,7,3,2.2975857737730356,-0.6391548715336558,C: Warm & Humid,-1,-0.0015146364296547699,True
2000,8,3.05,16.15,330.63,11.71,2000-08-01,8,3,2.7562750856865446,-0.9493153363509176,C: Warm & Humid,-1,-0.015611016430906344,True
2000,9,2.76,10.78,319.98,9.05,2000-09-01,9,3,1.7044520141926136,-0.7525851748845634,C: Warm & Humid,-1,-0.020036297438768336,True
2001,7,2.53,17.62,333.07,15.74,2001-07-01,19,3,3.0685708148655713,-1.1530359530290069,C: Warm & Humid,-1,-0.0008289694556350424,True
2002,8,2.57,19.78,335.62,15.38,2002-08-01,32,3,3.2863790257248477,-1.3646259191227492,C: Warm & Humid,-1,-0.032992410965178354,True
2003,7,1.51,18.62,331.33,13.24,2003-07-01,43,3,2.3670136229184218,-2.068926507527953,C: Warm & Humid,-1,-0.03746239166296228,True
2003,9,1.12,10.65,323.85,12.1,2003-09-01,45,3,1.2113143587341786,-1.6518782713075284,C: Warm & Humid,-1,-0.02686905455668054,True
2004,7,1.36,18.23,330.09,12.94,2004-07-01,55,3,2.2083782893224435,-2.141594002741118,C: Warm & Humid,-1,-0.041340936509947857,True
2007,2,1.12,2.65,248.83,1.1,2007-02-01,86,2,-1.5545600241122264,-0.8351446169625011,B: Cold & Dry,-1,-4.827385061090261e-05,True
2011,6,3.99,9.33,289.22,14.26,2011-06-01,138,0,2.360179909230444,0.9478727937062426,A: Hot & Dry,-1,-0.004405358946898863,True
2012,6,3.98,8.49,268.9,15.11,2012-06-01,150,0,2.1207699157109614,1.3302643759881647,A: Hot & Dry,-1,-0.0020658815962856236,True
2014,6,4.65,9.06,286.46,15.19,2014-06-01,174,0,2.7335061104948313,1.5084673955311494,A: Hot & Dry,-1,-0.06997969955264915,True
2014,7,3.81,17.91,330.31,15.41,2014-07-01,175,3,3.6830150490990494,-0.32123062702660826,C: Warm & Humid,-1,-0.007548654767023044,True
2015,6,3.98,6.48,263.09,15.0,2015-06-01,186,0,1.8509385410801344,1.562964909422828,A: Hot & Dry,-1,-0.002537445522108106,True
2018,6,3.86,8.36,274.53,15.37,2018-06-01,222,0,2.140641754204377,1.209409026453319,A: Hot & Dry,-1,-0.01721593493829776,True
2018,7,3.71,24.77,342.45,15.87,2018-07-01,223,3,4.470066806349372,-1.0778697552306569,C: Warm & Humid,-1,-0.18212120663083387,True
2018,8,3.34,23.21,341.03,15.35,2018-08-01,224,3,4.064241920648905,-1.2121956985747775,C: Warm & Humid,-1,-0.10253007002941539,True
2020,5,1.47,0.0,184.04,9.02,2020-05-01,245,4,-1.5900738194170532,1.0121186106898084,D: Extreme Rainfall,-1,-0.012480974177003334,True
2020,7,1.73,0.0,187.95,14.76,2020-07-01,247,4,-0.8266844898721458,1.5509940037168122,D: Extreme Rainfall,-1,-0.05036718020708786,True
2020,12,0.6,0.25,199.15,3.88,2020-12-01,252,2,-2.354120157233591,-0.14759846560001114,B: Cold & Dry,-1,-0.014047344244677129,True
2021,1,0.58,0.16,189.01,3.81,2021-01-01,253,2,-2.500500004994682,-0.029930728989328876,B: Cold & Dry,-1,-0.045258582738092024,True
2021,2,0.59,0.35,179.65,3.54,2021-02-01,254,2,-2.6162376597298285,0.05986029625440138,B: Cold & Dry,-1,-0.06863349504065697,True
2021,3,0.78,0.48,168.44,6.82,2021-03-01,255,2,-2.306447005279236,0.5546649783905775,B: Cold & Dry,-1,-0.09532470954416272,True
2023,6,2.78,0.0,214.96,14.78,2023-06-01,282,1,0.03254928120505394,1.9033222017800722,E: Pre-monsoon Storms,-1,-0.015698161267216793,True
2023,7,0.94,5.19,276.06,13.43,2023-07-01,283,1,0.17165852183739944,-0.6147820785787722,E: Pre-monsoon Storms,-1,-0.05164540273189322,True
