year,month,evap,rain,soilMoist,temp,date,time_index,cluster,PC1,PC2,weather_regime,anomaly_label,anomaly_score,is_anomaly
2000,1,0.7,0.28,236.76,-5.16,2000-01-01,1,2,-2.7730840620580497,-1.2170053773931684,B: Cold & Dry,-1,-0.07719642398978832,True
2000,2,0.8,0.52,237.33,-5.09,2000-02-01,2,2,-2.685495059851677,-1.1730855861069638,B: Cold & Dry,-1,-0.06122431851479737,True
2000,3,1.15,0.68,219.92,-1.39,2000-03-01,3,2,-2.3221585203224144,-0.46611210957189286,B: Cold & Dry,-1,-0.007780784773146365,True
2000,4,2.24,2.97,232.82,4.58,2000-04-01,4,4,-0.7887614733391892,0.33307974713010846,D: Extreme Rainfall,1,0.004651410409993617,False
2000,5,3.25,8.89,275.43,7.9,2000-05-01,5,1,1.129671156462001,0.20888984143801992,E: Pre-monsoon Storms,-1,-0.061292407808229976,True
2000,6,3.55,9.67,315.02,11.18,2000-06-01,6,0,2.160897481095586,0.07865093889227613,A: Hot & Dry,1,0.018648683310851566,False
2000,7,3.02,12.95,322.83,11.23,2000-07-01,7,3,2.2975857737730356,-0.6391548715336558,C: Warm & Humid,-1,-0.0015146364296547699,True
2000,8,3.05,16.15,330.63,11.71,2000-08-01,8,3,2.7562750856865446,-0.9493153363509176,C: Warm & Humid,-1,-0.015611016430906344,True
2000,9,2.76,10.78,319.98,9.05,2000-09-01,9,3,1.7044520141926136,-0.7525851748845634,C: Warm & Humid,-1,-0.020036297438768336,True
2000,10,2.31,1.21,277.73,8.14,2000-10-01,10,1,-0.022756442731313508,0.21508213489320316,E: Pre-monsoon Storms,1,0.07342673170219971,False
2000,11,1.35,0.04,251.21,3.18,2000-11-01,11,2,-1.443301711237664,-0.34549658781337406,B: Cold & Dry,1,0.07954052511476117,False
2000,12,0.83,0.01,235.58,0.4,2000-12-01,12,2,-2.1803635315681853,-0.6900786361006275,B: Cold & Dry,1,0.07255519381702841,False
2001,1,0.77,0.57,233.61,-0.97,2001-01-01,13,2,-2.321030491419124,-0.8507513021602664,B: Cold & Dry,1,0.037598883821756135,False
2001,2,0.99,0.68,224.8,2.65,2001-02-01,14,2,-1.9346735787940283,-0.3402010153187465,B: Cold & Dry,1,0.09782132341854011,False
2001,3,1.41,0.87,227.33,3.91,2001-03-01,15,4,-1.5440170208962731,-0.01932340220237227,D: Extreme Rainfall,1,0.08857490407739077,False
2001,4,2.2,2.98,218.33,8.78,2001-04-01,16,4,-0.5530806222849509,0.7944001832623947,D: Extreme Rainfall,1,0.03726955748080324,False
2001,5,3.33,7.28,288.04,12.39,2001-05-01,17,0,1.6255503578503434,0.5617863955887086,A: Hot & Dry,1,0.04438906830811562,False
2001,6,2.65,9.06,294.4,15.13,2001-06-01,18,0,1.8007173550584983,0.08334982853832876,A: Hot & Dry,1,0.035769522493611317,False
2001,7,2.53,17.62,333.07,15.74,2001-07-01,19,3,3.0685708148655713,-1.1530359530290069,C: Warm & Humid,-1,-0.0008289694556350424,True
2001,8,2.78,15.23,331.68,15.56,2001-08-01,20,3,2.9359643903410535,-0.7848114879755131,C: Warm & Humid,1,0.03521320487143598,False
2001,9,2.93,7.08,314.52,13.56,2001-09-01,21,0,1.836371440745288,0.06383964165963485,A: Hot & Dry,1,0.07188520780517504,False
2001,10,2.27,1.92,285.49,10.81,2001-10-01,22,1,0.3877683373002932,0.22521859669156372,E: Pre-monsoon Storms,1,0.07350838223878087,False
2001,11,1.53,0.01,245.06,7.43,2001-11-01,23,4,-0.9948288768851343,0.16233166823062625,D: Extreme Rainfall,1,0.09727299192384942,False
2001,12,0.91,0.17,228.35,4.23,2001-12-01,24,2,-1.8206102138721647,-0.2808655724310278,B: Cold & Dry,1,0.09625208860203144,False
2002,1,0.74,0.69,228.12,1.22,2002-01-01,25,2,-2.16742499816375,-0.6519513260054187,B: Cold & Dry,1,0.07440287447522032,False
2002,2,1.13,1.22,233.77,1.85,2002-02-01,26,2,-1.787040540691076,-0.4644130315520363,B: Cold & Dry,1,0.089240112378632,False
2002,3,1.95,2.05,244.3,6.16,2002-03-01,27,4,-0.7262962993623988,0.18740734015597021,D: Extreme Rainfall,1,0.06478034328969945,False
2002,4,2.69,2.71,237.92,10.85,2002-04-01,28,1,0.11519709094276039,1.0423899113139783,E: Pre-monsoon Storms,1,0.06967355496299688,False
2002,5,3.33,4.4,259.35,13.07,2002-05-01,29,1,1.0820423717632395,1.2140508227472258,E: Pre-monsoon Storms,1,0.053279073074463446,False
2002,6,3.18,11.38,292.85,15.07,2002-06-01,30,0,2.265565376701973,0.25562972321923877,A: Hot & Dry,1,0.02880969858640453,False
2002,7,2.2,15.62,329.91,15.65,2002-07-01,31,3,2.6647457621985606,-1.1711161311186138,C: Warm & Humid,1,0.019905558670699708,False
2002,8,2.57,19.78,335.62,15.38,2002-08-01,32,3,3.2863790257248477,-1.3646259191227492,C: Warm & Humid,-1,-0.032992410965178354,True
2002,9,2.29,5.58,310.45,13.62,2002-09-01,33,0,1.3258789516459,-0.1780059149270425,A: Hot & Dry,1,0.044296303176677654,False
2002,10,2.49,1.69,286.29,9.58,2002-10-01,34,1,0.3627305705791547,0.29010621411628046,E: Pre-monsoon Storms,1,0.07312755586918551,False
2002,11,1.37,0.0,251.05,4.03,2002-11-01,35,4,-1.352260764364238,-0.2652226908030404,D: Extreme Rainfall,1,0.08240595317408772,False
2002,12,0.88,0.07,234.57,1.78,2002-12-01,36,2,-2.020743136974705,-0.5490609260903944,B: Cold & Dry,1,0.09470318711887216,False
2003,1,0.77,0.76,230.8,0.99,2003-01-01,37,2,-2.1370510406101926,-0.6886231323180448,B: Cold & Dry,1,0.06886710442929733,False
2003,2,0.98,1.92,246.51,0.52,2003-02-01,38,2,-1.7814909037185456,-0.8795976127758421,B: Cold & Dry,1,0.02095855683000125,False
2003,3,1.56,1.89,253.34,3.67,2003-03-01,39,4,-1.0864257793359018,-0.35206315711217195,D: Extreme Rainfall,1,0.04427143185278093,False
2003,4,2.58,2.34,250.21,8.35,2003-04-01,40,1,-0.08416300272689714,0.6632952458333866,E: Pre-monsoon Storms,1,0.07554365273528307,False
2003,5,2.78,1.44,237.32,9.65,2003-05-01,41,1,-0.08788373640845809,1.1278305495965486,E: Pre-monsoon Storms,1,0.047651743288199655,False
2003,6,2.41,7.02,263.62,12.19,2003-06-01,42,1,0.8206414195596399,0.27099592044730875,E: Pre-monsoon Storms,1,0.040786581881202544,False
2003,7,1.51,18.62,331.33,13.24,2003-07-01,43,3,2.3670136229184218,-2.068926507527953,C: Warm & Humid,-1,-0.03746239166296228,True
2003,8,1.35,12.75,327.59,13.44,2003-08-01,44,3,1.7076247088603513,-1.6247019716574103,C: Warm & Humid,1,0.019351484244826467,False
2003,9,1.12,10.65,323.85,12.1,2003-09-01,45,3,1.2113143587341786,-1.6518782713075284,C: Warm & Humid,-1,-0.02686905455668054,True
2003,10,2.26,1.13,285.31,8.97,2003-10-01,46,1,0.11876189742423701,0.15295920464236473,E: Pre-monsoon Storms,1,0.07717202976808796,False
2003,11,1.47,0.17,255.48,5.6,2003-11-01,47,4,-1.0727253024655854,-0.15547150756570613,D: Extreme Rainfall,1,0.0956750703636205,False
2003,12,0.95,0.64,243.9,1.67,2003-12-01,48,2,-1.8315171351074393,-0.6764311601831356,B: Cold & Dry,1,0.09007442117180287,False
2004,1,0.77,0.6,242.25,-0.86,2004-01-01,49,2,-2.204283097395905,-0.954724216932029,B: Cold & Dry,1,0.026698659273729775,False
2004,2,1.04,0.2,236.88,1.23,2004-02-01,50,2,-1.9553057735518113,-0.5234575289922301,B: Cold & Dry,1,0.09804604041207315,False
2004,3,1.46,0.74,227.14,6.98,2004-03-01,51,4,-1.220574246094847,0.24981271511339084,D: Extreme Rainfall,1,0.10236561104720315,False
2004,4,2.2,3.73,244.43,8.08,2004-04-01,52,1,-0.24327820174169884,0.3505495330334624,E: Pre-monsoon Storms,1,0.051491836178795325,False
2004,5,2.64,4.5,260.85,10.81,2004-05-01,53,1,0.527032524943391,0.5671745506538709,E: Pre-monsoon Storms,1,0.07272592731397687,False
2004,6,1.88,7.3,290.3,11.87,2004-06-01,54,1,0.8611002615467406,-0.4633861664666241,E: Pre-monsoon Storms,1,0.015616703922308683,False
2004,7,1.36,18.23,330.09,12.94,2004-07-01,55,3,2.2083782893224435,-2.141594002741118,C: Warm & Humid,-1,-0.041340936509947857,True
2004,8,1.32,13.94,328.61,13.42,2004-08-01,56,3,1.8146271299275036,-1.7577958280914097,C: Warm & Humid,1,0.006698732843597677,False
2004,9,1.5,11.74,320.19,12.23,2004-09-01,57,3,1.4778317397998546,-1.4358402352465978,C: Warm & Humid,1,0.013014919088989774,False
2004,10,1.94,2.99,296.43,6.85,2004-10-01,58,1,0.04725804033661684,-0.5077000947409402,E: Pre-monsoon Storms,1,0.010839125098647928,False
2004,11,1.4,0.06,263.0,3.09,2004-11-01,59,2,-1.2848731263982371,-0.4700662781099086,B: Cold & Dry,1,0.047394337014255605,False
2004,12,1.03,0.27,245.02,2.66,2004-12-01,60,2,-1.7114993385342407,-0.5351734600229247,B: Cold & Dry,1,0.09859031560619969,False
2005,1,0.84,1.25,243.47,0.43,2005-01-01,61,2,-1.961456127951775,-0.8843358796613254,B: Cold & Dry,1,0.04976400501150963,False
2005,2,1.14,1.08,254.38,0.64,2005-02-01,62,2,-1.6732421967434834,-0.7951588937333094,B: Cold & Dry,1,0.04479618735629609,False
2005,3,1.72,1.18,245.44,4.11,2005-03-01,63,4,-1.1208444951351384,-0.055392753139243446,D: Extreme Rainfall,1,0.05757336042006084,False
2005,4,1.99,1.59,226.33,6.91,2005-04-01,64,4,-0.8865792212497361,0.5341812784910157,D: Extreme Rainfall,1,0.07234429690335048,False
2005,5,2.75,3.04,247.12,9.2,2005-05-01,65,1,0.1184118257613363,0.8181929025472249,E: Pre-monsoon Storms,1,0.06201541853768017,False
2005,6,3.48,8.16,267.03,15.26,2005-06-01,66,0,1.8274098579574727,1.0622383085702563,A: Hot & Dry,1,0.024726253648757246,False
2005,7,2.42,11.52,317.61,15.17,2005-07-01,67,3,2.1953125351843013,-0.5641110009126077,C: Warm & Humid,1,0.04835023716989695,False
2005,8,2.73,12.55,324.43,14.95,2005-08-01,68,3,2.5094135878027504,-0.5474843846879883,C: Warm & Humid,1,0.06331465036561612,False
2005,9,2.62,5.5,301.21,13.86,2005-09-01,69,0,1.4013809328018343,0.18096609269932928,A: Hot & Dry,1,0.04769269575685675,False
