year,month,evap,rain,soilMoist,temp,date,time_index,cluster,PC1,PC2,weather_regime,anomaly_label,anomaly_score,is_anomaly
2000,1,0.45,0.24,241.78,4.89,2000-01-01,1,1,-2.4512574597405505,-1.3474660684518032,B: Cold & Dry,-1,-0.02173753376957488,True
2000,2,0.53,0.32,240.83,4.95,2000-02-01,2,1,-2.4133345103355404,-1.3091421007131332,B: Cold & Dry,-1,-0.007211212868759143,True
2000,5,3.32,7.66,268.72,18.73,2000-05-01,5,4,1.3961151820493318,0.2277894188744576,A: Hot & Dry,-1,-0.0013662817476439715,True
2000,9,3.08,7.45,308.14,18.33,2000-09-01,9,0,1.7779374683649256,-0.571746363173713,D: Extreme Rainfall,-1,-0.013348838143137587,True
2001,7,2.74,15.04,326.76,24.01,2001-07-01,19,0,3.2820482317266695,-0.7183975600633267,D: Extreme Rainfall,-1,-0.05064487924724781,True
2001,8,3.15,12.62,325.43,23.92,2001-08-01,20,0,3.169427038327845,-0.4489092381852201,D: Extreme Rainfall,-1,-0.040298087889865,True
2002,7,2.69,17.06,327.32,23.62,2002-07-01,31,0,3.4571960910836537,-0.9291936420819695,D: Extreme Rainfall,-1,-0.056572576199469204,True
2002,8,2.86,14.75,327.23,23.14,2002-08-01,32,0,3.2275223525769396,-0.7981744337473194,D: Extreme Rainfall,-1,-0.020915194854221664,True
2003,7,2.47,16.96,324.48,21.03,2003-07-01,43,0,3.057881667983189,-1.27640301321754,D: Extreme Rainfall,-1,-0.02005967390255714,True
2004,7,2.38,15.57,327.05,20.64,2004-07-01,55,0,2.8590744921538027,-1.3028275120666624,D: Extreme Rainfall,-1,-0.03300564199951006,True
2005,6,3.08,6.82,245.12,24.17,2005-06-01,66,4,1.3812585107843838,1.3923154078506519,A: Hot & Dry,-1,-0.02384366019951334,True
2006,6,4.02,7.77,274.11,23.2,2006-06-01,78,4,2.231267067205043,0.8968644816745559,A: Hot & Dry,-1,-0.015965777337043185,True
2010,4,1.31,1.65,225.07,23.16,2010-04-01,124,2,-0.38659743748358083,1.5493686022885698,E: Pre-monsoon Storms,-1,-0.0026569209025260054,True
2012,6,3.62,6.53,248.35,23.62,2012-06-01,150,4,1.5877578579305773,1.4044536632371063,A: Hot & Dry,-1,-0.021481037190497765,True
2012,8,4.08,11.5,318.41,21.56,2012-08-01,152,0,3.143433724099672,-0.3545778005405763,D: Extreme Rainfall,-1,-0.00011454885571604567,True
2013,8,4.06,12.23,320.67,21.42,2013-08-01,164,0,3.234817488610998,-0.46779016129356255,D: Extreme Rainfall,-1,-0.008524117380500629,True
2014,4,0.52,0.34,211.1,21.13,2014-04-01,172,2,-1.2848980936743017,1.4263434114762616,E: Pre-monsoon Storms,-1,-0.0032661202580043236,True
2014,6,4.63,7.35,272.47,23.68,2014-06-01,174,4,2.48526979622398,1.1614962515989846,A: Hot & Dry,-1,-0.08516887155379349,True
2014,7,3.92,16.26,323.4,22.61,2014-07-01,175,0,3.7768076846623138,-0.6578010107923452,D: Extreme Rainfall,-1,-0.07301325210839349,True
2015,7,3.63,14.18,320.05,22.34,2015-07-01,187,0,3.3374383294532444,-0.562191261647215,D: Extreme Rainfall,-1,-0.0018057689262775956,True
2016,7,2.47,13.89,326.99,21.91,2016-07-01,199,0,2.831670619290887,-0.9944275316059111,D: Extreme Rainfall,-1,-0.00012117228841834748,True
2018,7,3.27,21.41,334.46,22.41,2018-07-01,223,0,4.196071091207997,-1.3799398652273684,D: Extreme Rainfall,-1,-0.13877464792145566,True
2018,8,2.9,17.4,332.6,21.73,2018-08-01,224,0,3.48459156641368,-1.2555473576908633,D: Extreme Rainfall,-1,-0.04459171508448401,True
2020,6,2.2,0.0,205.53,21.41,2020-06-01,246,2,-0.6078722919188428,1.976751247567538,E: Pre-monsoon Storms,-1,-0.00862784606839706,True
2020,7,1.76,0.0,167.63,21.85,2020-07-01,247,2,-1.2985041438531413,2.610937448543432,E: Pre-monsoon Storms,-1,-0.13067430498615473,True
2021,3,0.22,0.47,204.26,16.3,2021-03-01,255,1,-1.9652780207646297,0.8106813419895489,B: Cold & Dry,-1,-0.02163870426167469,True
2021,8,3.8,5.14,321.93,21.9,2021-08-01,260,0,2.381551261303609,-0.007881001552603753,D: Extreme Rainfall,-1,-0.010195046790493323,True
2022,8,1.56,9.45,315.71,20.49,2022-08-01,272,0,1.622334499604542,-0.8993585823655628,D: Extreme Rainfall,-1,-0.020354405967656697,True
2023,6,2.57,0.0,224.85,24.75,2023-06-01,282,2,0.1516917311832959,2.1738354866064475,E: Pre-monsoon Storms,-1,-0.047910017393500204,True
