year,month,evap,rain,soilMoist,temp,date,time_index,cluster,PC1,PC2,weather_regime,anomaly_label,anomaly_score,is_anomaly
2000,1,0.45,0.24,241.78,4.89,2000-01-01,1,1,-2.4512574597405505,-1.3474660684518032,B: Cold & Dry,-1,-0.02173753376957488,True
2000,2,0.53,0.32,240.83,4.95,2000-02-01,2,1,-2.4133345103355404,-1.3091421007131332,B: Cold & Dry,-1,-0.007211212868759143,True
2000,3,0.62,0.58,227.72,9.96,2000-03-01,3,1,-2.047661197495952,-0.3879334547953254,B: Cold & Dry,1,0.08843713062304265,False
2000,4,1.48,2.26,234.5,16.73,2000-04-01,4,2,-0.7231748156262058,0.5017680706021018,E: Pre-monsoon Storms,1,0.07488170259597404,False
2000,5,3.32,7.66,268.72,18.73,2000-05-01,5,4,1.3961151820493318,0.2277894188744576,A: Hot & Dry,-1,-0.0013662817476439715,True
2000,6,3.75,8.65,303.11,21.08,2000-06-01,6,0,2.411309738422138,-0.03186921699674932,D: Extreme Rainfall,1,0.030078681405339702,False
2000,7,3.34,11.66,318.59,20.98,2000-07-01,7,0,2.770773317823705,-0.6194818118107065,D: Extreme Rainfall,1,0.05351751354191281,False
2000,8,3.29,12.94,322.2,21.14,2000-08-01,8,0,2.9580369194326885,-0.7598119573054737,D: Extreme Rainfall,1,0.04948656724072831,False
2000,9,3.08,7.45,308.14,18.33,2000-09-01,9,0,1.7779374683649256,-0.571746363173713,D: Extreme Rainfall,-1,-0.013348838143137587,True
2000,10,1.65,0.86,263.0,16.16,2000-10-01,10,3,-0.4577457036021476,0.04912445404304115,C: Warm & Humid,1,0.08874632542572986,False
2000,11,0.71,0.02,249.23,10.64,2000-11-01,11,1,-1.70268285968174,-0.6203276504229144,B: Cold & Dry,1,0.10749289564863823,False
2000,12,0.41,0.01,241.6,7.36,2000-12-01,12,1,-2.261617017795518,-1.0008848014381269,B: Cold & Dry,1,0.00696562833461245,False
2001,1,0.55,0.5,242.36,6.17,2001-01-01,13,1,-2.2457458348450587,-1.1773765538265206,B: Cold & Dry,1,0.004883608924869942,False
2001,2,0.62,0.52,233.03,10.75,2001-02-01,14,1,-1.904307369419377,-0.37079993596160715,B: Cold & Dry,1,0.11465539717823797,False
2001,3,0.86,0.67,232.4,13.0,2001-03-01,15,1,-1.571467394435139,-0.006811802079400665,B: Cold & Dry,1,0.09297522377801193,False
2001,4,1.37,2.23,227.43,18.51,2001-04-01,16,2,-0.7056798648898346,0.8473886251355524,E: Pre-monsoon Storms,1,0.06416278645128509,False
2001,5,3.36,6.5,275.95,21.33,2001-05-01,17,4,1.6339991417681718,0.5410647408625988,A: Hot & Dry,1,0.06510149277805188,False
2001,6,2.99,8.31,291.92,23.54,2001-06-01,18,4,2.1045015002146106,0.3500935445418417,A: Hot & Dry,1,0.027557371141021525,False
2001,7,2.74,15.04,326.76,24.01,2001-07-01,19,0,3.2820482317266695,-0.7183975600633267,D: Extreme Rainfall,-1,-0.05064487924724781,True
2001,8,3.15,12.62,325.43,23.92,2001-08-01,20,0,3.169427038327845,-0.4489092381852201,D: Extreme Rainfall,-1,-0.040298087889865,True
2001,9,3.35,6.44,305.82,22.24,2001-09-01,21,4,2.1289712099949276,0.13403773954422638,A: Hot & Dry,1,0.06453526397763049,False
2001,10,1.74,1.61,274.86,19.03,2001-10-01,22,3,0.1088059747880332,0.19969113318326515,C: Warm & Humid,1,0.06870282727174981,False
2001,11,0.72,0.0,244.83,15.61,2001-11-01,23,1,-1.2866237526072444,0.14028819086829117,B: Cold & Dry,1,0.10911607890884861,False
2001,12,0.54,0.1,237.44,12.25,2001-12-01,24,1,-1.7826955933457314,-0.23502448338457532,B: Cold & Dry,1,0.1089849508070152,False
2002,1,0.5,0.52,237.58,10.04,2002-01-01,25,1,-1.9631402640620652,-0.5767561217406411,B: Cold & Dry,1,0.10214451314174938,False
2002,2,0.8,1.07,242.59,11.19,2002-02-01,26,1,-1.5839689783661532,-0.476556975158793,B: Cold & Dry,1,0.09934536450538606,False
2002,3,1.37,1.65,246.02,16.35,2002-03-01,27,3,-0.716723365859662,0.2598732077961448,C: Warm & Humid,1,0.09274017469287915,False
2002,4,1.64,2.13,237.42,20.44,2002-04-01,28,2,-0.26885844498792844,1.0019931405944411,E: Pre-monsoon Storms,1,0.07436733414879415,False
2002,5,3.02,3.91,254.64,22.24,2002-05-01,29,4,0.9752199523718773,1.1409327620357999,A: Hot & Dry,1,0.07388449577879475,False
2002,6,3.33,8.63,278.15,23.47,2002-06-01,30,4,2.0957320275048623,0.6436073147158282,A: Hot & Dry,1,0.023486258180652808,False
2002,7,2.69,17.06,327.32,23.62,2002-07-01,31,0,3.4571960910836537,-0.9291936420819695,D: Extreme Rainfall,-1,-0.056572576199469204,True
2002,8,2.86,14.75,327.23,23.14,2002-08-01,32,0,3.2275223525769396,-0.7981744337473194,D: Extreme Rainfall,-1,-0.020915194854221664,True
2002,9,2.72,4.76,294.55,21.84,2002-09-01,33,4,1.4558764919137677,0.24738217267291088,A: Hot & Dry,1,0.06447641672958354,False
2002,10,2.01,1.14,274.61,18.04,2002-10-01,34,3,0.0808833747476354,0.16330963452316985,C: Warm & Humid,1,0.06632890289047172,False
2002,11,0.71,0.0,247.98,12.89,2002-11-01,35,1,-1.507211126192498,-0.2895369919572632,B: Cold & Dry,1,0.1079023424158318,False
2002,12,0.48,0.06,239.54,10.11,2002-12-01,36,1,-1.9898501985255057,-0.575852911766473,B: Cold & Dry,1,0.0967793043592422,False
2003,1,0.5,0.67,239.57,9.25,2003-01-01,37,1,-1.9939056417005678,-0.7302001560857089,B: Cold & Dry,1,0.08015474279286344,False
