year,month,evap,rain,soilMoist,temp,date,time_index,cluster,PC1,PC2,weather_regime,anomaly_label,anomaly_score,is_anomaly
2000,2,1.02,0.42,220.56,3.83,2000-02-01,2,0,-2.613463609538653,-1.2481674000267728,B: Cold & Dry,-1,-0.01690436385381089,True
2000,5,4.21,9.16,269.4,18.85,2000-05-01,5,1,1.6679783663938874,0.20991396228849776,A: Hot & Dry,-1,-0.02561479514482523,True
2000,8,4.43,14.73,335.43,20.4,2000-08-01,8,4,3.1986842634150574,-0.7925239504515817,D: Extreme Rainfall,-1,-0.016490399468562345,True
2000,9,3.86,8.32,319.98,18.17,2000-09-01,9,4,1.889674771241273,-0.5657025532450065,D: Extreme Rainfall,-1,-0.0011317318243666552,True
2003,7,3.28,18.43,335.72,20.77,2003-07-01,43,4,3.128809139047339,-1.2621654510713192,D: Extreme Rainfall,-1,-0.05190383521801811,True
2004,10,2.74,3.9,295.24,14.98,2004-10-01,58,2,0.362853088390607,-0.6061033341376609,E: Pre-monsoon Storms,-1,-0.015093728574338106,True
2006,6,4.68,8.92,289.57,22.72,2006-06-01,78,1,2.4308009629233625,0.5811710231895447,A: Hot & Dry,-1,-0.007895649840762076,True
2006,7,4.26,12.33,326.63,22.97,2006-07-01,79,4,3.02290976701833,-0.20510614089767595,D: Extreme Rainfall,-1,-0.000426781248684005,True
2007,2,1.52,2.93,244.11,8.95,2007-02-01,86,0,-1.3887688247919932,-0.9403403058930747,B: Cold & Dry,-1,-0.01971333512610529,True
2007,10,3.2,2.99,303.2,16.39,2007-10-01,94,2,0.6857695197044076,-0.356987955891329,E: Pre-monsoon Storms,-1,-0.0039599776533992825,True
2012,6,4.07,7.78,251.15,23.11,2012-06-01,150,1,1.6774256416112043,1.0820783812805914,A: Hot & Dry,-1,-0.010379778116692107,True
2012,7,4.61,13.77,325.47,22.1,2012-07-01,151,4,3.233947635462457,-0.32801159826839327,D: Extreme Rainfall,-1,-4.01763927188048e-05,True
2013,8,4.89,12.48,328.93,21.32,2013-08-01,164,4,3.1801869043475155,-0.32477057521211095,D: Extreme Rainfall,-1,-0.00506290279027144,True
2014,6,5.23,8.82,280.35,23.18,2014-06-01,174,1,2.608358031559193,0.8934938885514109,A: Hot & Dry,-1,-0.09817696724105474,True
2014,7,4.76,14.5,329.02,22.33,2014-07-01,175,4,3.4366973262137526,-0.36159853072901993,D: Extreme Rainfall,-1,-0.023984261759017578,True
2016,4,1.72,0.62,186.64,20.91,2016-04-01,196,3,-1.0012058109794701,1.6134822097044461,C: Warm & Humid,-1,-0.002187663819777308,True
2018,7,4.0,17.53,341.39,22.1,2018-07-01,223,4,3.5348739885899447,-0.9362112150159404,D: Extreme Rainfall,-1,-0.05978281816069975,True
2018,8,3.82,17.81,342.51,21.56,2018-08-01,224,4,3.445875767251608,-1.0825463503940114,D: Extreme Rainfall,-1,-0.06619596475935463,True
2020,5,1.38,0.0,171.19,17.72,2020-05-01,245,3,-1.6841688799927146,1.3596671504133135,C: Warm & Humid,-1,-0.04565609515330471,True
2020,7,2.06,0.0,177.05,21.24,2020-07-01,247,3,-0.9873430712486587,1.9027943671884475,C: Warm & Humid,-1,-0.0417409955554342,True
2020,12,0.61,0.3,185.7,10.75,2020-12-01,252,0,-2.5062892747832763,0.04832010891059269,B: Cold & Dry,-1,-0.008060556752999437,True
2021,1,0.55,0.18,175.82,10.67,2021-01-01,253,0,-2.6564885552180333,0.1626765692368439,B: Cold & Dry,-1,-0.04600347822767714,True
2021,2,0.55,0.34,167.4,11.88,2021-02-01,254,0,-2.6114243410261877,0.4233353659610885,B: Cold & Dry,-1,-0.06165674147780531,True
2021,3,0.62,0.68,158.89,16.09,2021-03-01,255,3,-2.2294371491715728,1.087469445985352,C: Warm & Humid,-1,-0.09120360992088705,True
2021,5,2.36,7.04,236.29,18.74,2021-05-01,257,2,0.2751956389041368,0.3659840367949547,E: Pre-monsoon Storms,-1,-0.01431285790143555,True
2022,5,2.55,4.86,195.07,19.01,2022-05-01,269,2,-0.27997281045387085,1.1389840232594435,E: Pre-monsoon Storms,-1,-0.017081429964218575,True
2022,10,3.57,0.2,303.21,19.06,2022-10-01,274,2,0.8064999802976719,0.27558547935969047,E: Pre-monsoon Storms,-1,-0.008166140140636213,True
2023,6,3.07,0.0,212.62,23.93,2023-06-01,282,2,0.08530097742720108,2.0181612806438816,E: Pre-monsoon Storms,-1,-0.05187883800309945,True
2023,7,0.84,2.83,279.49,19.13,2023-07-01,283,2,-0.3489800631145534,-0.19605278102497456,E: Pre-monsoon Storms,-1,-0.06699400934820132,True
