year,month,evap,rain,soilMoist,temp,date,time_index,cluster,PC1,PC2,weather_regime,anomaly_label,anomaly_score,is_anomaly
2000,1,0.96,0.31,224.39,4.8,2000-01-01,1,0,-2.5182022047145725,-1.1752014086178895,B: Cold & Dry,1,0.006670994399311625,False
2000,2,1.02,0.42,220.56,3.83,2000-02-01,2,0,-2.613463609538653,-1.2481674000267728,B: Cold & Dry,-1,-0.01690436385381089,True
2000,3,1.29,0.67,202.01,9.24,2000-03-01,3,0,-2.143508335106599,-0.24128085087464707,B: Cold & Dry,1,0.06026774603711166,False
2000,4,2.2,2.82,210.98,16.27,2000-04-01,4,3,-0.7471500705146582,0.6292634013816242,C: Warm & Humid,1,0.06353676134302133,False
2000,5,4.21,9.16,269.4,18.85,2000-05-01,5,1,1.6679783663938874,0.20991396228849776,A: Hot & Dry,-1,-0.02561479514482523,True
2000,6,4.7,9.31,308.44,20.54,2000-06-01,6,4,2.4694581158195246,0.01997323052611056,D: Extreme Rainfall,1,0.014763978589436233,False
2000,7,4.73,11.62,326.36,20.98,2000-07-01,7,4,2.9588973693128255,-0.3118753492943676,D: Extreme Rainfall,1,0.04193337260244284,False
2000,8,4.43,14.73,335.43,20.4,2000-08-01,8,4,3.1986842634150574,-0.7925239504515817,D: Extreme Rainfall,-1,-0.016490399468562345,True
2000,9,3.86,8.32,319.98,18.17,2000-09-01,9,4,1.889674771241273,-0.5657025532450065,D: Extreme Rainfall,-1,-0.0011317318243666552,True
2000,10,2.54,1.01,266.79,15.54,2000-10-01,10,2,-0.2770871062416065,-6.478920844288771e-05,E: Pre-monsoon Storms,1,0.06810289545519532,False
2000,11,1.55,0.1,240.55,10.34,2000-11-01,11,0,-1.5813336982904005,-0.5042387490546151,B: Cold & Dry,1,0.0907892120005635,False
2000,12,0.95,0.03,222.87,6.96,2000-12-01,12,0,-2.3609718640061517,-0.8504371506760303,B: Cold & Dry,1,0.049069778823023436,False
2001,1,0.97,0.68,227.31,5.13,2001-01-01,13,0,-2.412096180125185,-1.1933123391802172,B: Cold & Dry,1,0.02048225414865329,False
2001,2,1.12,0.69,212.5,9.12,2001-02-01,14,0,-2.1174108988261975,-0.43464779723659525,B: Cold & Dry,1,0.09696424208217364,False
2001,3,1.48,0.85,210.74,11.55,2001-03-01,15,0,-1.7279688830659203,-0.018908145504352724,B: Cold & Dry,1,0.09302002523267167,False
2001,4,2.15,2.36,201.76,16.34,2001-04-01,16,3,-0.9079271438728692,0.780865654207675,C: Warm & Humid,1,0.06233823930772747,False
2001,5,3.91,7.2,272.69,19.29,2001-05-01,17,1,1.4043686162458382,0.29503279552311634,A: Hot & Dry,1,0.03240884177087838,False
2001,6,3.62,8.63,292.99,21.11,2001-06-01,18,1,1.8173713768419042,0.10550459982221878,A: Hot & Dry,1,0.05938692486164532,False
2001,7,3.51,15.76,335.53,21.97,2001-07-01,19,4,3.057857177883244,-0.8622164581781778,D: Extreme Rainfall,1,0.024387163867025052,False
2001,8,3.88,14.09,334.96,21.61,2001-08-01,20,4,3.00105775756075,-0.7034256746332802,D: Extreme Rainfall,1,0.04849107346761311,False
2001,9,3.84,6.79,312.12,19.9,2001-09-01,21,1,1.8015148599803084,-0.12969034650953615,A: Hot & Dry,1,0.05549356786550713,False
2001,10,2.62,1.36,277.07,17.38,2001-10-01,22,2,0.07956869125183803,0.10293708887984059,E: Pre-monsoon Storms,1,0.07399856554537582,False
2001,11,1.56,0.06,234.23,13.85,2001-11-01,23,3,-1.310403424959699,0.051055961148217185,C: Warm & Humid,1,0.10746636417905214,False
2001,12,0.99,0.2,219.69,10.15,2001-12-01,24,0,-2.0523576786627498,-0.38701268536912325,B: Cold & Dry,1,0.10238746463317622,False
2002,1,0.9,0.81,222.31,7.66,2002-01-01,25,0,-2.2383009366395084,-0.8155329995029036,B: Cold & Dry,1,0.058317607800255966,False
2002,2,1.36,1.53,229.51,9.21,2002-02-01,26,0,-1.7360353092024237,-0.651584725445736,B: Cold & Dry,1,0.06059669284338731,False
2002,3,2.13,1.86,236.91,13.46,2002-03-01,27,3,-0.8784182462653157,-0.03452390157266007,C: Warm & Humid,1,0.06788318878690658,False
2002,4,2.69,2.51,225.41,17.79,2002-04-01,28,2,-0.26879002306622657,0.772680803157574,E: Pre-monsoon Storms,1,0.08525115668422911,False
2002,5,3.87,5.24,260.11,20.01,2002-05-01,29,1,1.1151877072142728,0.6843081148778419,A: Hot & Dry,1,0.05342865159047022,False
2002,6,4.28,10.27,289.04,21.45,2002-06-01,30,1,2.2723200593746156,0.23558463664239213,A: Hot & Dry,1,0.0323565263956635,False
2002,7,3.25,15.1,336.57,21.86,2002-07-01,31,4,2.8740421215169483,-0.9025098263684861,D: Extreme Rainfall,1,0.018400704164314052,False
2002,8,3.57,15.71,336.78,21.67,2002-08-01,32,4,3.063059294988032,-0.9017031305215842,D: Extreme Rainfall,1,0.03132424439569398,False
2002,9,3.14,5.41,309.73,20.09,2002-09-01,33,1,1.3412913186231383,-0.13288815894633957,A: Hot & Dry,1,0.057489774654590264,False
2002,10,2.75,1.08,274.27,16.46,2002-10-01,34,2,-0.011081489023111176,0.06592627218273828,E: Pre-monsoon Storms,1,0.08269640635890774,False
2002,11,1.45,0.0,234.84,12.62,2002-11-01,35,0,-1.4766352261287137,-0.1410251337474982,B: Cold & Dry,1,0.09635518884021138,False
2002,12,0.91,0.09,217.6,9.75,2002-12-01,36,0,-2.1593828142750766,-0.4229199153263886,B: Cold & Dry,1,0.07086851910520386,False
2003,1,0.92,0.8,218.26,8.76,2003-01-01,37,0,-2.167416669066051,-0.610687746799237,B: Cold & Dry,1,0.07481402216675032,False
2003,2,1.37,2.3,238.32,8.82,2003-02-01,38,0,-1.5947090972461895,-0.8709490206492666,B: Cold & Dry,1,0.031035165924032937,False
2003,3,2.15,2.33,246.16,12.3,2003-03-01,39,3,-0.83403997328695,-0.33897027736764196,C: Warm & Humid,1,0.03885418923940953,False
2003,4,2.82,2.18,238.5,18.24,2003-04-01,40,2,-0.06682477274948667,0.7123642937633137,E: Pre-monsoon Storms,1,0.0835405151599955,False
2003,5,3.12,2.0,231.48,19.66,2003-05-01,41,2,0.10804177623148305,1.073259731284712,E: Pre-monsoon Storms,1,0.07316238735066571,False
2003,6,3.55,6.81,258.19,21.26,2003-06-01,42,1,1.242570175921227,0.6948681272430081,A: Hot & Dry,1,0.06732549662323062,False
2003,7,3.28,18.43,335.72,20.77,2003-07-01,43,4,3.128809139047339,-1.2621654510713192,D: Extreme Rainfall,-1,-0.05190383521801811,True
2003,8,3.2,11.76,332.91,20.93,2003-08-01,44,4,2.368279199415878,-0.7560845396269379,D: Extreme Rainfall,1,0.06977638876857878,False
2003,9,2.73,10.49,329.57,19.73,2003-09-01,45,4,1.8770013017696134,-0.8880873757992157,D: Extreme Rainfall,1,0.013763352783877414,False
2003,10,2.81,1.0,279.44,16.7,2003-10-01,46,2,0.08382076528525662,0.04880846641545475,E: Pre-monsoon Storms,1,0.07709300642270994,False
2003,11,1.59,0.03,240.21,13.05,2003-11-01,47,3,-1.3146639833936478,-0.12530951111378252,C: Warm & Humid,1,0.10519171490070794,False
2003,12,0.99,0.42,224.73,9.33,2003-12-01,48,0,-2.0548405707756285,-0.5778209598422417,B: Cold & Dry,1,0.1056125185952082,False
2004,1,0.99,0.71,227.81,7.24,2004-01-01,49,0,-2.1923208234100584,-0.9167300846541576,B: Cold & Dry,1,0.07231934232716919,False
2004,2,1.16,0.21,220.6,9.51,2004-02-01,50,0,-2.028838059813009,-0.446901645762076,B: Cold & Dry,1,0.10586851136999442,False
2004,3,1.57,0.75,205.75,15.55,2004-03-01,51,3,-1.3674647037197203,0.6061408816277462,C: Warm & Humid,1,0.10397858571995444,False
2004,4,2.83,4.0,229.16,17.38,2004-04-01,52,2,-0.04870300079790969,0.5960004818537925,E: Pre-monsoon Storms,1,0.05405259309933663,False
2004,5,3.41,4.83,249.46,19.54,2004-05-01,53,2,0.713553289319252,0.687841475150439,E: Pre-monsoon Storms,1,0.0650179418238484,False
2004,6,3.97,9.83,294.32,20.16,2004-06-01,54,1,2.0212049442804547,-0.044059483470789404,A: Hot & Dry,1,0.033348259078726905,False
2004,7,3.3,13.73,333.33,20.3,2004-07-01,55,4,2.5660700653714508,-0.9606608846902234,D: Extreme Rainfall,1,0.04492592286622693,False
2004,8,3.2,10.99,329.62,20.93,2004-08-01,56,4,2.251691122037185,-0.6590303690766967,D: Extreme Rainfall,1,0.07422967997260249,False
2004,9,3.22,11.36,323.77,19.51,2004-09-01,57,4,2.102302827401784,-0.7923800828997344,D: Extreme Rainfall,1,0.04708535083621146,False
2004,10,2.74,3.9,295.24,14.98,2004-10-01,58,2,0.362853088390607,-0.6061033341376609,E: Pre-monsoon Storms,-1,-0.015093728574338106,True
2004,11,1.63,0.05,247.87,10.71,2004-11-01,59,0,-1.4394839156585166,-0.5299797828450312,B: Cold & Dry,1,0.08722224944562262,False
2004,12,1.16,0.24,228.88,9.42,2004-12-01,60,0,-1.9475661759807734,-0.5699372610197448,B: Cold & Dry,1,0.10650076618729509,False
2005,1,1.09,1.67,232.75,7.76,2005-01-01,61,0,-1.9445109347844727,-0.9572375667952469,B: Cold & Dry,1,0.018320583488607878,False
2005,2,1.45,1.05,243.91,9.44,2005-02-01,62,0,-1.5749732471674094,-0.7568755480295681,B: Cold & Dry,1,0.05976046910097538,False
2005,3,2.03,1.43,234.28,13.43,2005-03-01,63,3,-0.9984563355154253,0.003789396582756875,C: Warm & Humid,1,0.08020491998837054,False
2005,4,1.87,1.4,207.6,16.84,2005-04-01,64,3,-1.0236547812496861,0.7750608271102379,C: Warm & Humid,1,0.08284937427426725,False
2005,5,3.27,3.22,229.6,18.71,2005-05-01,65,2,0.19289536990982156,0.9198912739212896,E: Pre-monsoon Storms,1,0.06363358040680872,False
2005,6,3.73,5.59,243.03,23.58,2005-06-01,66,1,1.255171373091377,1.3284716538891825,A: Hot & Dry,1,0.010961744768662962,False
2005,7,4.51,11.0,313.07,22.5,2005-07-01,67,4,2.8032785774191393,0.05946560626353747,D: Extreme Rainfall,1,0.021981648442734314,False
2005,8,4.52,10.46,324.77,22.3,2005-08-01,68,4,2.8533801239464247,-0.0811879613615888,D: Extreme Rainfall,1,0.03192054955074536,False
2005,9,3.67,5.64,307.59,20.98,2005-09-01,69,1,1.6607307324446812,0.11598100912703764,A: Hot & Dry,1,0.07183185819358034,False
2005,10,3.03,3.01,283.64,16.7,2005-10-01,70,2,0.43845126694662795,-0.09767594886900885,E: Pre-monsoon Storms,1,0.04604520612222651,False
2005,11,1.82,0.1,249.06,12.58,2005-11-01,71,3,-1.1590206672464354,-0.25785883441742735,C: Warm & Humid,1,0.09336275047361275,False
2005,12,1.1,0.21,225.09,10.92,2005-12-01,72,0,-1.8726852828749228,-0.33174723661867656,B: Cold & Dry,1,0.10864735642938433,False
2006,1,1.07,0.26,216.65,10.81,2006-01-01,73,0,-1.9794266896040345,-0.24550430719938948,B: Cold & Dry,1,0.11206016821253334,False
2006,2,1.09,0.28,199.75,13.59,2006-02-01,74,3,-1.8786119247436621,0.34992025936888815,C: Warm & Humid,1,0.08492484930575495,False
2006,3,1.45,1.11,202.46,14.41,2006-03-01,75,3,-1.525473272860933,0.44580531138269064,C: Warm & Humid,1,0.09839848727842121,False
2006,4,2.84,4.06,231.12,17.98,2006-04-01,76,2,0.04020647266778067,0.6480965854017049,E: Pre-monsoon Storms,1,0.06343881327561568,False
2006,5,3.77,5.11,255.74,21.47,2006-05-01,77,1,1.1519880312460984,0.922859104976019,A: Hot & Dry,1,0.06473334204315673,False
2006,6,4.68,8.92,289.57,22.72,2006-06-01,78,1,2.4308009629233625,0.5811710231895447,A: Hot & Dry,-1,-0.007895649840762076,True
2006,7,4.26,12.33,326.63,22.97,2006-07-01,79,4,3.02290976701833,-0.20510614089767595,D: Extreme Rainfall,-1,-0.000426781248684005,True
2006,8,4.34,11.11,328.95,22.12,2006-08-01,80,4,2.870459697378836,-0.24571669393396905,D: Extreme Rainfall,1,0.051369407894646724,False
2006,9,3.69,9.14,320.63,19.35,2006-09-01,81,4,2.0228731525430113,-0.5124286677733756,D: Extreme Rainfall,1,0.05538072367569408,False
2006,10,2.82,1.45,284.2,15.87,2006-10-01,82,2,0.1063535163321249,-0.15347079960728355,E: Pre-monsoon Storms,1,0.050458746609026384,False
2006,11,1.63,0.08,248.01,11.7,2006-11-01,83,0,-1.3397639451409904,-0.40217084536476255,B: Cold & Dry,1,0.09252012254857839,False
