year,month,evap,rain,soilMoist,temp,date,time_index,cluster,PC1,PC2,weather_regime,anomaly_label,anomaly_score,is_anomaly
2000,1,0.57,0.3,246.83,-8.5,2000-01-01,1,2,-2.878570392038982,-1.374004742877862,B: Cold & Dry,-1,-0.07985903997333177,True
2000,2,0.66,0.54,247.62,-7.96,2000-02-01,2,2,-2.739031625425587,-1.3056931378992624,B: Cold & Dry,-1,-0.05357278184732728,True
2000,3,1.06,0.66,233.05,-4.11,2000-03-01,3,2,-2.3077274109638934,-0.557428239744378,B: Cold & Dry,-1,-0.010081700102907876,True
2000,4,2.06,2.74,243.1,1.19,2000-04-01,4,1,-0.8781020356045512,0.1866352260181716,E: Pre-monsoon Storms,-1,-0.0037739618097497596,True
2000,5,2.89,7.18,284.21,4.43,2000-05-01,5,0,0.9120345931283592,0.010565119368039234,A: Hot & Dry,-1,-0.03237601913777832,True
2000,6,3.06,7.94,309.58,7.17,2000-06-01,6,4,1.6883342566645616,-0.12300703112144776,D: Extreme Rainfall,-1,-0.0067340005498814914,True
2000,7,2.56,11.45,322.49,7.19,2000-07-01,7,4,1.9836402812914606,-0.9726504632281726,D: Extreme Rainfall,-1,-0.02684668091291298,True
2000,8,2.52,13.1,328.8,7.38,2000-08-01,8,4,2.2472282075388637,-1.2237405301151412,D: Extreme Rainfall,-1,-0.06415149582746849,True
2000,9,2.32,8.82,319.35,5.55,2000-09-01,9,4,1.354646024089072,-0.9813556214046795,D: Extreme Rainfall,-1,-0.011296720453945475,True
2001,7,2.18,15.94,333.52,13.86,2001-07-01,19,3,3.1042037865329735,-1.3481793670563664,C: Warm & Humid,-1,-0.0023261304847556064,True
2002,7,1.88,14.85,333.09,13.84,2002-07-01,31,4,2.8153451870063475,-1.4641738229699248,D: Extreme Rainfall,-1,-6.8158866203260615e-06,True
2002,8,2.21,17.17,336.19,13.5,2002-08-01,32,3,3.2555801137310243,-1.496135794212829,C: Warm & Humid,-1,-0.02307916608830818,True
2003,7,1.45,15.33,328.66,12.06,2003-07-01,43,4,2.404234710720999,-1.8676790561602021,D: Extreme Rainfall,-1,-0.003944491005983486,True
2004,7,1.28,16.8,331.69,11.56,2004-07-01,55,4,2.4669298288627597,-2.1943307108168013,D: Extreme Rainfall,-1,-0.04650887041745899,True
2007,7,1.26,17.58,329.38,12.85,2007-07-01,91,4,2.6455851721024914,-2.1556387026397403,D: Extreme Rainfall,-1,-0.036588234656969254,True
2012,6,3.91,7.39,271.7,13.25,2012-06-01,150,0,2.213055526094422,1.4976595511575905,A: Hot & Dry,-1,-0.003319113113315564,True
2014,6,4.46,7.42,284.07,13.3,2014-06-01,174,0,2.6702230939608897,1.7106113281874995,A: Hot & Dry,-1,-0.05683739396882348,True
2016,7,2.99,17.32,333.81,13.52,2016-07-01,199,3,3.6575310970319457,-0.9137344041667658,C: Warm & Humid,-1,-0.01397502074583501,True
2018,7,3.76,21.48,339.89,14.21,2018-07-01,223,3,4.680042186749466,-0.7639860009500301,C: Warm & Humid,-1,-0.16913675906642855,True
2018,8,3.27,19.91,340.62,13.77,2018-08-01,224,3,4.208687303332798,-1.0199122241624339,C: Warm & Humid,-1,-0.09197411330987149,True
2019,8,3.0,0.01,275.04,13.98,2019-08-01,236,0,1.0188253727528207,1.481760091750611,A: Hot & Dry,-1,-0.017948797271758687,True
2020,5,1.53,0.0,191.68,7.55,2020-05-01,245,1,-1.474255922057834,1.2251244814400215,E: Pre-monsoon Storms,-1,-0.002856231579019708,True
2020,7,1.9,0.0,191.13,13.8,2020-07-01,247,1,-0.6502781116817727,1.9165987376356792,E: Pre-monsoon Storms,-1,-0.07815982960169188,True
2021,1,0.57,0.2,193.68,2.66,2021-01-01,253,2,-2.4318399357307916,0.16324882152334308,B: Cold & Dry,-1,-0.03596635625207878,True
2021,2,0.59,0.39,184.49,2.21,2021-02-01,254,2,-2.5624580184650876,0.2662696652895728,B: Cold & Dry,-1,-0.049941197925137404,True
2021,3,0.8,0.47,172.61,5.51,2021-03-01,255,2,-2.258001314584573,0.8054461403103711,B: Cold & Dry,-1,-0.08142652499982939,True
2022,6,3.0,0.43,227.7,12.53,2022-06-01,270,0,0.31683054746884565,2.044892118228035,A: Hot & Dry,-1,-0.012055928132720384,True
2023,6,2.52,0.0,206.37,13.26,2023-06-01,282,1,-0.18283174121160983,2.1006052311265004,E: Pre-monsoon Storms,-1,-0.02419878409604459,True
2023,7,0.95,5.84,262.72,12.46,2023-07-01,283,1,0.2760487185909614,-0.41071140915092635,E: Pre-monsoon Storms,-1,-0.024225685548141307,True
