year,month,evap,rain,soilMoist,temp,date,time_index,cluster,PC1,PC2,weather_regime,anomaly_label,anomaly_score,is_anomaly
2000,1,0.89,0.25,225.44,4.7,2000-01-01,1,1,-2.469656578362457,-1.364882167585721,B: Cold & Dry,-1,-0.016494409736377835,True
2001,7,3.69,14.55,332.5,23.84,2001-07-01,19,2,3.2821968290449446,-0.5434692810894506,D: Extreme Rainfall,-1,-0.050648924675212315,True
2001,8,4.06,11.9,331.19,23.72,2001-08-01,20,2,3.117008171871269,-0.31529217912724167,D: Extreme Rainfall,-1,-0.029430324311218392,True
2002,7,3.71,21.32,340.63,23.48,2002-07-01,31,2,4.104565119397658,-1.1108622132709451,D: Extreme Rainfall,-1,-0.14578114246667617,True
2002,8,3.74,13.54,332.54,22.95,2002-08-01,32,2,3.1055577636854976,-0.5978332035231023,D: Extreme Rainfall,-1,-0.0034119299492859634,True
2003,7,3.46,17.4,329.81,20.62,2003-07-01,43,2,3.1704231618859033,-1.1673858887639903,D: Extreme Rainfall,-1,-0.0252799731936596,True
2004,7,3.36,16.86,336.55,20.23,2004-07-01,55,2,3.1000713710437027,-1.300557546383557,D: Extreme Rainfall,-1,-0.03136845806491384,True
2005,6,3.73,6.75,227.24,23.77,2005-06-01,66,4,1.3130043203724093,1.3834284094569658,A: Hot & Dry,-1,-0.014922998627846518,True
2007,2,1.48,2.4,240.09,9.87,2007-02-01,86,1,-1.3295026686170823,-0.8720211582491071,B: Cold & Dry,-1,-0.01491554245016602,True
2007,10,3.24,3.82,301.17,16.47,2007-10-01,94,0,0.8513604931264102,-0.5683198428673545,C: Warm & Humid,-1,-0.0013905551255226634,True
2012,7,4.49,12.69,312.24,21.8,2012-07-01,151,2,3.0096058528514744,-0.289496741346405,D: Extreme Rainfall,-1,-0.008756894582689356,True
2013,8,4.96,11.64,327.67,21.04,2013-08-01,164,2,3.1817663719638527,-0.4607551516775881,D: Extreme Rainfall,-1,-0.0068915995774889716,True
2014,6,5.14,7.35,262.9,23.32,2014-06-01,174,4,2.315062636353982,1.0453238879180962,A: Hot & Dry,-1,-0.04840778346677932,True
2014,7,4.69,16.73,328.53,22.1,2014-07-01,175,2,3.7495324126661025,-0.6810460637594205,D: Extreme Rainfall,-1,-0.06456140171071822,True
2016,7,2.63,14.41,334.63,21.41,2016-07-01,199,2,2.603189515079805,-1.0941074513902325,D: Extreme Rainfall,-1,-0.04402623842972231,True
2018,7,3.94,21.03,341.72,22.21,2018-07-01,223,2,4.061065747380772,-1.2434937383090439,D: Extreme Rainfall,-1,-0.09858982949327777,True
2018,8,3.41,15.45,339.11,21.6,2018-08-01,224,2,3.119662318233188,-1.0514704320644117,D: Extreme Rainfall,-1,-0.01147094144263594,True
2019,7,3.95,16.14,313.68,21.74,2019-07-01,235,2,3.1763294366747563,-0.6234861832543095,D: Extreme Rainfall,-1,-0.019492169291562056,True
2019,8,3.73,0.0,267.75,21.96,2019-08-01,236,4,0.8036193014447965,0.9772792036291594,A: Hot & Dry,-1,-0.014181382987121016,True
2020,5,1.42,0.0,168.96,18.94,2020-05-01,245,3,-1.5067141377183202,1.5090151452656682,E: Pre-monsoon Storms,-1,-0.024940032886333063,True
2020,7,2.28,0.0,152.98,22.01,2020-07-01,247,3,-1.0131500231147046,2.312905122092362,E: Pre-monsoon Storms,-1,-0.10273621441048764,True
2021,1,0.52,0.2,184.04,10.92,2021-01-01,253,1,-2.4751231300855263,0.009995177057163959,B: Cold & Dry,-1,-0.02795521441111981,True
2021,2,0.54,0.28,173.45,12.33,2021-02-01,254,1,-2.434143077194946,0.3516414458549179,B: Cold & Dry,-1,-0.04610570937229441,True
2021,3,0.58,0.46,161.38,16.71,2021-03-01,255,3,-2.1062952327153615,1.124375139978218,E: Pre-monsoon Storms,-1,-0.0911590240762481,True
2021,7,2.92,12.95,332.37,21.17,2021-07-01,259,2,2.516484948077453,-0.9556752061306274,D: Extreme Rainfall,-1,-3.7787024780966405e-05,True
2022,8,1.83,9.5,324.44,20.22,2022-08-01,272,2,1.4871448199620798,-0.9668894031021378,D: Extreme Rainfall,-1,-0.03277799452747976,True
2022,10,3.44,0.07,296.01,19.6,2022-10-01,274,0,0.7582004866040808,0.20074161864111492,C: Warm & Humid,-1,-0.005518474168092369,True
2023,6,2.79,0.0,191.97,25.16,2023-06-01,282,3,-0.08725748172329359,2.3026873875146343,E: Pre-monsoon Storms,-1,-0.07878393610446621,True
2023,7,0.9,2.26,257.7,19.85,2023-07-01,283,0,-0.46050190617379283,0.17520468387065632,C: Warm & Humid,-1,-0.03255921114509597,True
