year,month,evap,rain,soilMoist,temp,date,time_index,cluster,PC1,PC2,weather_regime,anomaly_label,anomaly_score,is_anomaly
2000,6,5.3,11.89,314.14,25.46,2000-06-01,6,2,2.885689533125871,0.04674007128366649,D: Extreme Rainfall,-1,-0.005592419799253623,True
2000,7,5.39,15.95,336.66,25.5,2000-07-01,7,2,3.5155467116762296,-0.3901099897343584,D: Extreme Rainfall,-1,-0.037202645987109983,True
2001,1,1.07,0.62,213.86,7.96,2001-01-01,13,1,-2.4269358870948583,-1.2627362081202251,B: Cold & Dry,-1,-0.00025537457126434404,True
2001,7,4.51,18.29,337.84,26.12,2001-07-01,19,2,3.4204350684189495,-0.5394826508635572,D: Extreme Rainfall,-1,-0.048561167635425506,True
2002,6,4.76,9.31,281.34,26.29,2002-06-01,30,3,2.179661028109309,0.5947496238424844,A: Hot & Dry,-1,-0.0007489604794377325,True
2002,7,4.62,26.61,349.24,25.63,2002-07-01,31,2,4.304965274780886,-1.1310638713038326,D: Extreme Rainfall,-1,-0.1671223421787219,True
2003,7,4.91,22.62,338.99,23.97,2003-07-01,43,2,3.8190135592090337,-1.0183391567158304,D: Extreme Rainfall,-1,-0.07560554170809353,True
2004,6,4.96,13.63,296.96,24.68,2004-06-01,54,2,2.673551436906827,0.003926254535935648,D: Extreme Rainfall,-1,-0.01357116546096715,True
2004,7,4.98,19.57,341.64,23.7,2004-07-01,55,2,3.5669738432270575,-0.9286659016670189,D: Extreme Rainfall,-1,-0.059516414475958124,True
2005,6,3.69,7.58,229.71,28.12,2005-06-01,66,3,1.235948768509508,1.3900273446732756,A: Hot & Dry,-1,-0.025465820308090525,True
2006,6,5.04,11.35,300.94,26.38,2006-06-01,78,2,2.6802778368723175,0.3203908516053282,D: Extreme Rainfall,-1,-0.01594640731140906,True
2007,2,1.63,2.72,237.49,12.53,2007-02-01,86,1,-1.3753283308378939,-0.9181304943173771,B: Cold & Dry,-1,-0.01908271085769564,True
2009,3,1.07,0.31,164.32,20.73,2009-03-01,111,4,-1.8136569277644579,1.1174744500543679,E: Pre-monsoon Storms,-1,-0.0017423176163366971,True
2009,4,1.46,0.57,161.27,26.19,2009-04-01,112,4,-1.1782866261719789,1.9589398061801095,E: Pre-monsoon Storms,-1,-0.025690634169707183,True
2009,8,3.89,18.35,342.33,23.45,2009-08-01,116,2,2.9711117967192915,-1.0473367352437515,D: Extreme Rainfall,-1,-0.012936411639618228,True
2010,4,2.1,1.87,183.79,27.17,2010-04-01,124,4,-0.48779061817175856,1.8580590067784497,E: Pre-monsoon Storms,-1,-0.024546855087050568,True
2014,6,5.0,8.48,278.51,26.96,2014-06-01,174,3,2.236946368909083,0.7918081738634932,A: Hot & Dry,-1,-0.03591335971830767,True
2016,7,2.81,16.29,340.39,23.92,2016-07-01,199,2,2.3391987061947774,-0.9921915280237003,D: Extreme Rainfall,-1,-0.020839215099551445,True
2018,7,3.93,21.8,345.76,25.21,2018-07-01,223,2,3.4932607850130255,-1.0013350016158111,D: Extreme Rainfall,-1,-0.08370851435313598,True
2019,7,4.02,19.43,327.45,24.63,2019-07-01,235,2,3.090250510100863,-0.7487738955934146,D: Extreme Rainfall,-1,-0.006914450341795497,True
2020,5,1.54,0.0,155.26,23.3,2020-05-01,245,4,-1.5032440349281313,1.6565950419299162,E: Pre-monsoon Storms,-1,-0.024385131992789466,True
2020,12,0.78,0.27,178.35,14.39,2020-12-01,252,1,-2.3592372248992537,0.028960859692914086,B: Cold & Dry,-1,-0.007125468782782973,True
2021,1,0.67,0.22,165.82,13.94,2021-01-01,253,1,-2.567103741322723,0.0961456095922125,B: Cold & Dry,-1,-0.059258886395838206,True
2021,2,0.66,0.29,154.97,15.96,2021-02-01,254,1,-2.4914857729589936,0.49973373706194096,B: Cold & Dry,-1,-0.07152981238405165,True
2021,3,0.68,0.53,145.2,20.71,2021-03-01,255,4,-2.1408536477220723,1.272121092193394,E: Pre-monsoon Storms,-1,-0.09701700853484607,True
2021,4,1.83,1.11,170.87,25.44,2021-04-01,256,4,-0.9446537733845288,1.7637297773111382,E: Pre-monsoon Storms,-1,-0.004448163070813971,True
2022,8,2.51,16.5,335.12,22.66,2022-08-01,272,2,2.071800566586033,-1.1579512585374974,D: Extreme Rainfall,-1,-0.049738209895710206,True
2023,6,2.89,0.0,198.09,29.08,2023-06-01,282,4,-0.023941287686438776,2.1552916747492676,E: Pre-monsoon Storms,-1,-0.059736403977319275,True
2023,7,1.01,1.76,276.27,22.18,2023-07-01,283,0,-0.5327426363103334,-0.024302849985358137,C: Warm & Humid,-1,-0.04367277072445397,True
