year,month,evap,rain,soilMoist,temp,date,time_index,cluster,PC1,PC2,weather_regime,anomaly_label,anomaly_score,is_anomaly
2000,1,1.17,0.28,212.84,9.35,2000-01-01,1,1,-2.3049036417404634,-1.025806020374282,B: Cold & Dry,1,0.0535697944256302,False
2000,2,1.21,0.41,206.31,9.81,2000-02-01,2,1,-2.296900212958654,-0.8882480546160333,B: Cold & Dry,1,0.04441355308264289,False
2000,3,1.44,0.54,185.83,16.27,2000-03-01,3,1,-1.8185814433470218,0.2784428316534287,B: Cold & Dry,1,0.07731662666503897,False
2000,4,2.22,3.03,193.76,23.79,2000-04-01,4,4,-0.5278621220446111,1.2258280384741946,E: Pre-monsoon Storms,1,0.05236816178873144,False
2000,5,4.41,9.42,268.04,25.19,2000-05-01,5,3,1.820324193077482,0.5412484483647296,A: Hot & Dry,1,0.020931971038347097,False
2000,6,5.3,11.89,314.14,25.46,2000-06-01,6,2,2.885689533125871,0.04674007128366649,D: Extreme Rainfall,-1,-0.005592419799253623,True
2000,7,5.39,15.95,336.66,25.5,2000-07-01,7,2,3.5155467116762296,-0.3901099897343584,D: Extreme Rainfall,-1,-0.037202645987109983,True
2000,8,4.89,16.33,334.44,24.94,2000-08-01,8,2,3.2672929461131806,-0.5246644095209068,D: Extreme Rainfall,1,0.01605889313635528,False
2000,9,4.19,7.73,317.62,22.5,2000-09-01,9,2,1.7995732872683454,-0.34504850393310316,D: Extreme Rainfall,1,0.05458902744272054,False
2000,10,2.72,0.97,261.55,19.06,2000-10-01,10,0,-0.2806638315440589,-0.047524411094225914,C: Warm & Humid,1,0.06110301097253462,False
2000,11,1.75,0.02,234.16,13.39,2000-11-01,11,1,-1.531507898921148,-0.6120071709906788,B: Cold & Dry,1,0.08343115971452464,False
2000,12,1.08,0.0,212.1,9.05,2000-12-01,12,1,-2.402388821947622,-1.057270147350742,B: Cold & Dry,1,0.025784035368527747,False
2001,1,1.07,0.62,213.86,7.96,2001-01-01,13,1,-2.4269358870948583,-1.2627362081202251,B: Cold & Dry,-1,-0.00025537457126434404,True
2001,2,1.2,0.58,196.98,12.96,2001-02-01,14,1,-2.0999890737974476,-0.3471514658685091,B: Cold & Dry,1,0.07683635728899874,False
2001,3,1.46,0.58,189.36,16.99,2001-03-01,15,1,-1.7109848622567796,0.34068088056027607,B: Cold & Dry,1,0.09663031764870578,False
2001,4,1.98,2.03,178.38,22.51,2001-04-01,16,4,-0.9782182074144364,1.2383897428122415,E: Pre-monsoon Storms,1,0.037084869666613174,False
2001,5,4.13,7.57,253.76,24.86,2001-05-01,17,3,1.3663210340991343,0.7121459974082165,A: Hot & Dry,1,0.05589583253609248,False
2001,6,4.5,9.44,292.47,25.8,2001-06-01,18,3,2.1419042573783096,0.3608393650953722,A: Hot & Dry,1,0.03251070141034307,False
2001,7,4.51,18.29,337.84,26.12,2001-07-01,19,2,3.4204350684189495,-0.5394826508635572,D: Extreme Rainfall,-1,-0.048561167635425506,True
2001,8,4.66,15.15,335.93,25.9,2001-08-01,20,2,3.1560328804454088,-0.376763659527032,D: Extreme Rainfall,1,0.0022983711413788743,False
2001,9,4.45,8.48,319.05,24.41,2001-09-01,21,2,2.159400625636577,-0.09587801420337869,D: Extreme Rainfall,1,0.065232540274413,False
2001,10,3.02,2.27,283.07,21.15,2001-10-01,22,0,0.3507848509368027,-0.022455988676656102,C: Warm & Humid,1,0.07653987026621661,False
2001,11,1.82,0.01,232.48,17.23,2001-11-01,23,1,-1.1858099601479548,-0.041383775697431735,B: Cold & Dry,1,0.09189804258110151,False
2001,12,1.19,0.17,213.79,13.21,2001-12-01,24,1,-1.9636213715789155,-0.4834636634724476,B: Cold & Dry,1,0.09641005883586717,False
2002,1,0.96,0.61,206.07,11.88,2002-01-01,25,1,-2.2085926642631986,-0.6339207698916586,B: Cold & Dry,1,0.04416745145048112,False
2002,2,1.47,1.12,216.54,13.86,2002-02-01,26,1,-1.67333738060072,-0.4345280940326544,B: Cold & Dry,1,0.07848397938533652,False
2002,3,1.86,1.07,211.93,19.24,2002-03-01,27,4,-1.088281669077574,0.428469183466618,E: Pre-monsoon Storms,1,0.09276066031603486,False
2002,4,2.38,2.27,195.32,23.69,2002-04-01,28,4,-0.5239720901003022,1.2510410972530417,E: Pre-monsoon Storms,1,0.0643086350958244,False
2002,5,3.99,6.19,255.39,25.43,2002-05-01,29,3,1.2426151717346763,0.8243149509540132,A: Hot & Dry,1,0.06123797619720328,False
2002,6,4.76,9.31,281.34,26.29,2002-06-01,30,3,2.179661028109309,0.5947496238424844,A: Hot & Dry,-1,-0.0007489604794377325,True
2002,7,4.62,26.61,349.24,25.63,2002-07-01,31,2,4.304965274780886,-1.1310638713038326,D: Extreme Rainfall,-1,-0.1671223421787219,True
2002,8,4.5,14.4,331.45,25.02,2002-08-01,32,2,2.899706368756899,-0.43348516805192894,D: Extreme Rainfall,1,0.04426826459355521,False
2002,9,3.76,5.26,303.48,23.79,2002-09-01,33,3,1.3651498632997534,0.06480984480999835,A: Hot & Dry,1,0.07586527948583582,False
2002,10,3.1,1.37,276.23,20.42,2002-10-01,34,0,0.17433104938576158,0.005850674423762738,C: Warm & Humid,1,0.06455233157918566,False
2002,11,1.69,0.0,232.17,15.85,2002-11-01,35,1,-1.3647969689314363,-0.2484397243550372,B: Cold & Dry,1,0.09016374308581737,False
2002,12,1.07,0.06,210.87,12.04,2002-12-01,36,1,-2.1538366621630103,-0.6251575959679566,B: Cold & Dry,1,0.0777759785212534,False
2003,1,0.97,0.78,209.63,10.12,2003-01-01,37,1,-2.3075448242888057,-0.9299328300579656,B: Cold & Dry,1,0.01556010680350034,False
2003,2,1.47,1.9,225.4,12.87,2003-02-01,38,1,-1.6037099021727086,-0.7128862945659272,B: Cold & Dry,1,0.024277118373814355,False
2003,3,2.12,1.32,222.22,17.43,2003-03-01,39,1,-1.0140431361170996,0.07624939694954129,B: Cold & Dry,1,0.07266554140613174,False
2003,4,2.69,2.16,212.04,24.13,2003-04-01,40,4,-0.2069345784801194,1.1676082891257085,E: Pre-monsoon Storms,1,0.08293441805304375,False
2003,5,3.22,2.26,214.98,25.32,2003-05-01,41,4,0.1600406236219442,1.3632449976114742,E: Pre-monsoon Storms,1,0.0681712714085343,False
2003,6,4.41,8.85,258.85,25.8,2003-06-01,42,3,1.7342427463261951,0.7593987977580402,A: Hot & Dry,1,0.02395008669051768,False
2003,7,4.91,22.62,338.99,23.97,2003-07-01,43,2,3.8190135592090337,-1.0183391567158304,D: Extreme Rainfall,-1,-0.07560554170809353,True
2003,8,4.58,11.5,329.92,24.03,2003-08-01,44,2,2.5645135689545264,-0.4042565433426719,D: Extreme Rainfall,1,0.06301909551202062,False
2003,9,4.13,10.29,324.64,22.96,2003-09-01,45,2,2.117190107691579,-0.49222949693864704,D: Extreme Rainfall,1,0.0733566008343442,False
2003,10,3.04,1.41,283.98,19.72,2003-10-01,46,0,0.16418570007061506,-0.19022357479038957,C: Warm & Humid,1,0.07523725223306771,False
2003,11,1.88,0.01,242.22,15.12,2003-11-01,47,1,-1.2516508248781568,-0.4423312818876357,B: Cold & Dry,1,0.08791994996754804,False
2003,12,1.23,0.43,223.18,11.74,2003-12-01,48,1,-1.9617579745690723,-0.8052380827025504,B: Cold & Dry,1,0.09466409906999207,False
2004,1,1.09,0.64,218.68,10.13,2004-01-01,49,1,-2.1836548081506786,-1.009314248223102,B: Cold & Dry,1,0.051611360443839904,False
2004,2,1.3,0.22,209.91,12.75,2004-02-01,50,1,-1.9878919314339007,-0.4932866797755438,B: Cold & Dry,1,0.10510103500787887,False
2004,3,1.64,0.71,192.45,19.78,2004-03-01,51,4,-1.3514015253645242,0.7157463836089797,E: Pre-monsoon Storms,1,0.09505818049464043,False
2004,4,2.86,3.31,206.24,22.64,2004-04-01,52,4,-0.21033788867700362,0.9876938359341055,E: Pre-monsoon Storms,1,0.07000328440596237,False
2004,5,3.43,3.87,222.54,24.83,2004-05-01,53,3,0.42795352487400234,1.1557009324303085,A: Hot & Dry,1,0.053148987843088025,False
2004,6,4.96,13.63,296.96,24.68,2004-06-01,54,2,2.673551436906827,0.003926254535935648,D: Extreme Rainfall,-1,-0.01357116546096715,True
2004,7,4.98,19.57,341.64,23.7,2004-07-01,55,2,3.5669738432270575,-0.9286659016670189,D: Extreme Rainfall,-1,-0.059516414475958124,True
2004,8,4.84,12.37,325.93,24.45,2004-08-01,56,2,2.755885214990766,-0.3100228441562906,D: Extreme Rainfall,1,0.047681179256913064,False
2004,9,4.11,11.78,324.21,22.52,2004-09-01,57,2,2.204991919195737,-0.6248548651406651,D: Extreme Rainfall,1,0.06125040776847035,False
2004,10,3.23,3.87,295.82,18.76,2004-10-01,58,0,0.5018498636846827,-0.5566916417488491,C: Warm & Humid,1,0.033349067085665096,False
2004,11,1.88,0.0,245.21,14.53,2004-11-01,59,1,-1.2756923426072326,-0.5590555661546258,B: Cold & Dry,1,0.08441897554033234,False
2004,12,1.29,0.2,222.5,11.62,2004-12-01,60,1,-1.974151405679769,-0.7957955334419822,B: Cold & Dry,1,0.10098718595290918,False
2005,1,1.13,1.33,220.73,10.91,2005-01-01,61,1,-2.0157170854763984,-0.9511398703863189,B: Cold & Dry,1,0.023847850169802898,False
2005,2,1.57,0.69,228.22,14.01,2005-02-01,62,1,-1.5482744002021187,-0.5122274776265484,B: Cold & Dry,1,0.09074436868656643,False
