year,month,evap,rain,soilMoist,temp,date,time_index,cluster,PC1,PC2,weather_regime,anomaly_label,anomaly_score,is_anomaly
2000,1,0.64,0.3,235.79,-1.38,2000-01-01,1,2,-2.772739291854624,1.6243650897257593,B: Cold & Dry,-1,-0.07010438521184181,True
2000,2,0.78,0.52,238.15,-0.6,2000-02-01,2,2,-2.5718228911537264,1.532032404380234,B: Cold & Dry,-1,-0.03048949897706832,True
2000,3,1.01,0.55,220.77,3.86,2000-03-01,3,2,-2.208226822939677,0.6252371810263949,B: Cold & Dry,1,0.0551087143016144,False
2000,4,2.01,2.64,228.72,9.34,2000-04-01,4,3,-0.8288099798587454,-0.11917346708086494,C: Warm & Humid,1,0.04419213631932967,False
2000,5,3.49,6.49,272.13,11.68,2000-05-01,5,4,1.0874582061787912,0.055579100701451285,A: Hot & Dry,-1,-0.017051156648304144,True
2000,6,3.6,7.79,303.0,13.48,2000-06-01,6,1,1.83539198795725,0.3616663063593604,D: Extreme Rainfall,1,0.0027314522000501107,False
2000,7,3.28,11.02,321.89,13.57,2000-07-01,7,1,2.2745700203614825,0.9909155292777531,D: Extreme Rainfall,-1,-0.017652728509341298,True
2000,8,3.21,13.12,327.14,13.6,2000-08-01,8,1,2.542492186719229,1.2508804811767733,D: Extreme Rainfall,-1,-0.03984863831275065,True
2000,9,2.98,7.38,311.23,11.8,2000-09-01,9,1,1.409531231598217,0.8733976726656176,D: Extreme Rainfall,-1,-0.031953975460134565,True
2000,10,2.15,1.04,271.64,11.46,2000-10-01,10,0,-0.2194920739090858,0.09883334242918987,E: Pre-monsoon Storms,1,0.0737752361050148,False
2000,11,1.13,0.0,251.52,6.33,2000-11-01,11,2,-1.5981890015388376,0.6994449141175826,B: Cold & Dry,1,0.08377883327247115,False
2000,12,0.69,0.0,237.49,3.45,2000-12-01,12,2,-2.2728526725200835,0.9959679157527764,B: Cold & Dry,1,0.042364927591102886,False
2001,1,0.74,0.51,236.3,2.13,2001-01-01,13,2,-2.3381406039592054,1.1684603552958723,B: Cold & Dry,1,0.0381908948239002,False
2001,2,0.86,0.45,223.75,6.49,2001-02-01,14,2,-1.992235442727032,0.3774371103620272,B: Cold & Dry,1,0.11402593331895478,False
