year,month,evap,rain,soilMoist,temp,date,time_index,cluster,PC1,PC2,weather_regime,anomaly_label,anomaly_score,is_anomaly
2000,1,0.43,0.32,243.92,-9.36,2000-01-01,1,0,-2.6501949580123227,-1.0803811083637687,B: Cold & Dry,-1,-0.03321139542330709,True
2000,2,0.51,0.63,247.17,-10.9,2000-02-01,2,0,-2.6625466871224988,-1.1817809388105536,B: Cold & Dry,-1,-0.05145798547978808,True
2000,5,2.78,5.8,258.09,3.26,2000-05-01,5,2,0.9839352567933894,0.8755183111929667,A: Hot & Dry,-1,-0.022909881015296785,True
2000,6,3.17,6.82,292.17,6.07,2000-06-01,6,3,2.1564581553301285,0.6725403934070555,E: Pre-monsoon Storms,-1,-0.04416554706352782,True
2000,7,3.03,8.77,302.06,6.73,2000-07-01,7,3,2.559525044621127,0.21249036913643987,E: Pre-monsoon Storms,-1,-0.026128975445384728,True
2000,8,2.79,11.2,317.36,6.5,2000-08-01,8,1,2.963524046365461,-0.5279684122102358,C: Warm & Humid,-1,-0.06009644413644544,True
2000,9,2.41,7.35,308.35,4.34,2000-09-01,9,3,1.8501871404749315,-0.43061391352410655,E: Pre-monsoon Storms,-1,-0.011385448335584858,True
2002,8,2.1,14.13,323.44,9.66,2002-08-01,32,1,3.3636012327527327,-1.3719543305505943,C: Warm & Humid,-1,-0.023036859975143487,True
2003,7,1.17,12.14,310.6,8.34,2003-07-01,43,1,2.204526536609853,-1.8381598850253544,C: Warm & Humid,-1,-0.007458531585185502,True
2003,9,0.82,7.48,310.12,7.09,2003-09-01,45,1,1.2167890692740038,-1.7314268832955797,C: Warm & Humid,-1,-0.017588647174134886,True
2004,7,1.18,11.05,306.65,7.68,2004-07-01,55,1,1.9335520795961696,-1.684778522763897,C: Warm & Humid,-1,-0.009655717736124836,True
2005,2,0.76,1.7,266.02,-5.44,2005-02-01,62,0,-1.5358883566767605,-1.1032704647641522,B: Cold & Dry,-1,-0.0056242016745563506,True
2006,7,1.73,9.84,308.84,11.67,2006-07-01,79,1,2.523619040363494,-0.896588473720754,C: Warm & Humid,-1,-0.0066467728943031545,True
2010,7,0.84,11.6,312.89,9.97,2010-07-01,127,1,2.1286659994600834,-2.026382179646101,C: Warm & Humid,-1,-0.019186674109864965,True
2010,8,1.85,13.6,323.02,10.27,2010-08-01,128,1,3.1945601667878214,-1.4984329588104865,C: Warm & Humid,-1,-0.009355048194876536,True
2014,6,3.59,7.03,268.55,10.46,2014-06-01,174,3,2.5126359920661474,1.6741463360597206,E: Pre-monsoon Storms,-1,-0.05071305345892241,True
2015,8,2.65,12.67,322.22,10.87,2015-08-01,188,1,3.5913126668969375,-0.6495440574752216,C: Warm & Humid,-1,-0.015668491575460464,True
2016,8,2.87,7.56,317.85,11.4,2016-08-01,200,3,2.999378431446119,0.17185315647907717,E: Pre-monsoon Storms,-1,-0.0071722133786743525,True
2018,7,2.15,15.14,327.81,10.95,2018-07-01,223,1,3.728237634353814,-1.437253590159257,C: Warm & Humid,-1,-0.06949067729841674,True
2018,8,2.11,17.85,333.27,10.58,2018-08-01,224,1,4.1270522770081755,-1.8648835421285215,C: Warm & Humid,-1,-0.14787704500874954,True
2020,7,1.39,0.0,198.57,10.54,2020-07-01,247,4,-0.8371485044421625,1.6752635395627309,D: Extreme Rainfall,-1,-0.08399578868200419,True
2021,1,0.44,0.11,202.5,-1.36,2021-01-01,253,0,-2.510577361916767,0.10905013733294609,B: Cold & Dry,-1,-0.015513888308430701,True
2021,2,0.47,0.29,195.38,-2.22,2021-02-01,254,0,-2.661338408125987,0.1950793957170576,B: Cold & Dry,-1,-0.03341536162195524,True
2021,3,0.68,0.61,184.78,0.2,2021-03-01,255,0,-2.4126562187830487,0.6649823005758625,B: Cold & Dry,-1,-0.09018286098697614,True
2022,5,1.39,2.81,206.57,5.73,2022-05-01,269,4,-0.8022073048524688,0.9872438799825191,D: Extreme Rainfall,-1,-0.015607947499513997,True
2022,6,2.78,0.5,218.69,8.79,2022-06-01,270,2,0.19655973184047834,2.4062184001096845,A: Hot & Dry,-1,-0.030288213324144886,True
2022,7,2.99,6.92,308.43,11.33,2022-07-01,271,3,2.8319249864174,0.504310199156352,E: Pre-monsoon Storms,-1,-7.50853534308149e-05,True
2022,10,2.77,0.18,288.28,7.8,2022-10-01,274,2,1.107507863966086,1.1586694379203166,A: Hot & Dry,-1,-0.020111886833004577,True
2023,6,2.82,0.0,231.02,7.07,2023-06-01,282,2,0.1682006806606898,2.183487430205572,A: Hot & Dry,-1,-0.01483252339479324,True
