year,month,evap,rain,soilMoist,temp,date,time_index,cluster,PC1,PC2,weather_regime,anomaly_label,anomaly_score,is_anomaly
2000,1,0.43,0.32,243.92,-9.36,2000-01-01,1,0,-2.6501949580123227,-1.0803811083637687,B: Cold & Dry,-1,-0.03321139542330709,True
2000,2,0.51,0.63,247.17,-10.9,2000-02-01,2,0,-2.6625466871224988,-1.1817809388105536,B: Cold & Dry,-1,-0.05145798547978808,True
2000,3,0.9,0.77,234.64,-6.94,2000-03-01,3,0,-2.2078300987477935,-0.4169475664237441,B: Cold & Dry,1,0.0009826413378286603,False
2000,4,1.76,2.21,238.17,-0.72,2000-04-01,4,4,-0.8227693207582106,0.4724908517253532,D: Extreme Rainfall,1,0.06080551322370131,False
2000,5,2.78,5.8,258.09,3.26,2000-05-01,5,2,0.9839352567933894,0.8755183111929667,A: Hot & Dry,-1,-0.022909881015296785,True
2000,6,3.17,6.82,292.17,6.07,2000-06-01,6,3,2.1564581553301285,0.6725403934070555,E: Pre-monsoon Storms,-1,-0.04416554706352782,True
2000,7,3.03,8.77,302.06,6.73,2000-07-01,7,3,2.559525044621127,0.21249036913643987,E: Pre-monsoon Storms,-1,-0.026128975445384728,True
2000,8,2.79,11.2,317.36,6.5,2000-08-01,8,1,2.963524046365461,-0.5279684122102358,C: Warm & Humid,-1,-0.06009644413644544,True
2000,9,2.41,7.35,308.35,4.34,2000-09-01,9,3,1.8501871404749315,-0.43061391352410655,E: Pre-monsoon Storms,-1,-0.011385448335584858,True
2000,10,1.82,1.24,275.37,3.22,2000-10-01,10,2,0.03559485557845709,0.18763169557329984,A: Hot & Dry,1,0.09950403430688659,False
2000,11,0.96,0.02,253.25,-1.48,2000-11-01,11,0,-1.451207853461854,-0.3164546516051004,B: Cold & Dry,1,0.11245526379537313,False
2000,12,0.53,0.05,241.59,-4.46,2000-12-01,12,0,-2.1773585557836457,-0.6575418896676211,B: Cold & Dry,1,0.08842501565417149,False
2001,1,0.49,0.52,245.25,-6.44,2001-01-01,13,0,-2.2766742292329303,-0.9124480817011953,B: Cold & Dry,1,0.06217843786633487,False
2001,2,0.74,0.97,240.97,-3.3,2001-02-01,14,0,-1.8183762164621595,-0.49192873534969034,B: Cold & Dry,1,0.10475076839376474,False
2001,3,1.16,1.03,244.9,-2.07,2001-03-01,15,4,-1.3769701801145515,-0.12865097607671908,D: Extreme Rainfall,1,0.10239019325925647,False
2001,4,1.84,2.08,230.01,2.21,2001-04-01,16,4,-0.6266076100177108,0.8583834434280956,D: Extreme Rainfall,1,0.07262250402089082,False
2001,5,2.58,4.39,270.1,6.03,2001-05-01,17,2,1.1260930805415117,0.78288968261934,A: Hot & Dry,1,0.04495945928834988,False
2001,6,2.03,6.51,266.35,8.5,2001-06-01,18,3,1.2793405823688757,0.2799041761212997,E: Pre-monsoon Storms,1,0.05362787855057932,False
2001,7,2.15,12.0,313.72,9.42,2001-07-01,19,1,2.9259454550681383,-0.9532766308653251,C: Warm & Humid,1,0.030610594397322055,False
2001,8,2.22,11.16,320.43,9.0,2001-08-01,20,1,2.9116867665070036,-0.9458464468338814,C: Warm & Humid,1,0.02990653568080731,False
2001,9,2.35,4.81,301.28,6.98,2001-09-01,21,3,1.6157841019867245,0.04268001520509628,E: Pre-monsoon Storms,1,0.0638205272947398,False
2001,10,1.75,1.23,276.88,4.89,2001-10-01,22,2,0.18095385520931326,0.19102392522898715,A: Hot & Dry,1,0.09723003780592404,False
2001,11,1.07,0.08,248.27,1.4,2001-11-01,23,4,-1.1672582550085373,0.018213962920620417,D: Extreme Rainfall,1,0.12782622260967547,False
2001,12,0.59,0.15,236.19,-2.08,2001-12-01,24,0,-1.9737497679109544,-0.39097052891765816,B: Cold & Dry,1,0.10667921953815906,False
2002,1,0.47,0.87,241.68,-5.43,2002-01-01,25,0,-2.1942211877514164,-0.8485495431127413,B: Cold & Dry,1,0.07159370441789581,False
2002,2,0.81,1.43,247.86,-4.54,2002-02-01,26,0,-1.73070566976509,-0.6648804239554843,B: Cold & Dry,1,0.07595774021539448,False
2002,3,1.55,1.98,259.48,-1.12,2002-03-01,27,4,-0.6955431473666623,-0.08429795309260307,D: Extreme Rainfall,1,0.07861593967362002,False
2002,4,2.36,2.33,248.03,3.99,2002-04-01,28,2,0.17008075143609336,1.0740232125874172,A: Hot & Dry,1,0.08727024021450697,False
2002,5,2.83,2.88,250.43,6.62,2002-05-01,29,2,0.8249950485844882,1.5342883886983387,A: Hot & Dry,1,0.046732088217910195,False
2002,6,2.8,9.69,277.99,8.85,2002-06-01,30,3,2.393468874585043,0.45148179157121665,E: Pre-monsoon Storms,1,0.006772445483488765,False
2002,7,1.73,8.36,311.42,9.65,2002-07-01,31,1,2.1570458864672633,-0.9003462447277744,C: Warm & Humid,1,0.06305947641745946,False
2002,8,2.1,14.13,323.44,9.66,2002-08-01,32,1,3.3636012327527327,-1.3719543305505943,C: Warm & Humid,-1,-0.023036859975143487,True
2002,9,1.66,4.35,302.73,7.64,2002-09-01,33,3,1.2266842010842292,-0.5100046073883637,E: Pre-monsoon Storms,1,0.07145538756621067,False
2002,10,1.95,1.27,280.75,3.7,2002-10-01,34,2,0.2470477960047038,0.231450035006279,A: Hot & Dry,1,0.08860110822353495,False
2002,11,0.94,0.0,252.96,-1.78,2002-11-01,35,0,-1.5001186593496927,-0.34331443059278455,B: Cold & Dry,1,0.11029909707920094,False
2002,12,0.56,0.07,242.91,-3.71,2002-12-01,36,0,-2.062152128407167,-0.6154251103510334,B: Cold & Dry,1,0.10840987281561854,False
2003,1,0.49,0.73,240.93,-4.96,2003-01-01,37,0,-2.166501823665456,-0.7779286013956891,B: Cold & Dry,1,0.0848500360509653,False
2003,2,0.66,2.04,256.88,-5.36,2003-02-01,38,0,-1.679724881737333,-1.0621331431414622,B: Cold & Dry,1,0.02410149641399295,False
2003,3,1.18,2.22,268.27,-2.47,2003-03-01,39,4,-0.8836125820279584,-0.6630660621178136,D: Extreme Rainfall,1,0.035477788363332596,False
2003,4,2.2,1.95,263.41,2.36,2003-04-01,40,2,0.0941083607325734,0.6137205876309377,A: Hot & Dry,1,0.08466792727381806,False
2003,5,2.4,1.16,240.26,3.98,2003-05-01,41,2,-0.08775107684485707,1.3642331795403149,A: Hot & Dry,1,0.06771900732723446,False
2003,6,2.08,4.62,251.53,7.2,2003-06-01,42,2,0.692228918275546,0.7057552526392947,A: Hot & Dry,1,0.08105718425044339,False
2003,7,1.17,12.14,310.6,8.34,2003-07-01,43,1,2.204526536609853,-1.8381598850253544,C: Warm & Humid,-1,-0.007458531585185502,True
2003,8,1.11,9.7,314.23,8.43,2003-08-01,44,1,1.8940140742131206,-1.7007654601205995,C: Warm & Humid,1,0.036251064487079265,False
2003,9,0.82,7.48,310.12,7.09,2003-09-01,45,1,1.2167890692740038,-1.7314268832955797,C: Warm & Humid,-1,-0.017588647174134886,True
2003,10,1.79,1.12,279.21,3.26,2003-10-01,46,2,0.06341940168216541,0.1083385952658079,A: Hot & Dry,1,0.09389152996576244,False
2003,11,1.03,0.04,256.94,0.06,2003-11-01,47,4,-1.1976359770484486,-0.237536945543916,D: Extreme Rainfall,1,0.11835528501940762,False
2003,12,0.56,0.41,244.62,-4.14,2003-12-01,48,0,-2.031551791373199,-0.7034024918616327,B: Cold & Dry,1,0.10726015240680392,False
2004,1,0.47,0.65,248.82,-6.54,2004-01-01,49,0,-2.2261491034717973,-1.0112972216812457,B: Cold & Dry,1,0.048995730579387275,False
2004,2,0.71,0.17,247.14,-4.6,2004-02-01,50,0,-1.9824015424584571,-0.6153425163558115,B: Cold & Dry,1,0.10051170109691399,False
2004,3,1.24,0.68,236.48,1.16,2004-03-01,51,4,-1.1855619850916919,0.3005394205479698,D: Extreme Rainfall,1,0.11617141126606711,False
2004,4,1.86,3.29,248.27,2.56,2004-04-01,52,2,-0.13389069786399493,0.45206384941527183,A: Hot & Dry,1,0.07328332261242504,False
2004,5,2.35,3.02,253.83,5.17,2004-05-01,53,2,0.4652529131822111,0.957342252386692,A: Hot & Dry,1,0.09587493763405308,False
2004,6,1.82,5.84,275.64,6.53,2004-06-01,54,3,1.0067433374196095,-0.10691325165906304,E: Pre-monsoon Storms,1,0.05047308634171921,False
2004,7,1.18,11.05,306.65,7.68,2004-07-01,55,1,1.9335520795961696,-1.684778522763897,C: Warm & Humid,-1,-0.009655717736124836,True
2004,8,1.1,9.77,314.16,8.16,2004-08-01,56,1,1.8699076627737141,-1.7301904241202497,C: Warm & Humid,1,0.030168331956163807,False
2004,9,1.43,8.55,307.53,7.02,2004-09-01,57,1,1.6838956526968265,-1.2597626328153064,C: Warm & Humid,1,0.03922847080338332,False
2004,10,1.47,3.04,287.46,1.24,2004-10-01,58,4,0.06387035848208082,-0.6246473242517431,D: Extreme Rainfall,1,0.04906884772465897,False
2004,11,0.91,0.05,260.0,-2.79,2004-11-01,59,0,-1.5041053543843081,-0.5529700959383659,B: Cold & Dry,1,0.08448185427917843,False
2004,12,0.67,0.2,250.01,-2.95,2004-12-01,60,0,-1.7948187682193557,-0.614388802584309,B: Cold & Dry,1,0.11074487512792652,False
2005,1,0.56,1.56,252.41,-5.78,2005-01-01,61,0,-1.9159119976100676,-1.0461531055430267,B: Cold & Dry,1,0.03761781552862015,False
2005,2,0.76,1.7,266.02,-5.44,2005-02-01,62,0,-1.5358883566767605,-1.1032704647641522,B: Cold & Dry,-1,-0.0056242016745563506,True
2005,3,1.41,1.4,264.31,-1.63,2005-03-01,63,4,-0.8368719357457863,-0.26108752993663314,D: Extreme Rainfall,1,0.07644324637547728,False
2005,4,1.66,1.1,238.25,0.9,2005-04-01,64,4,-0.8748328832387398,0.5839494479502739,D: Extreme Rainfall,1,0.09094942931961963,False
2005,5,2.29,2.07,243.21,3.38,2005-05-01,65,2,-0.0417845305037684,1.0898785473750838,A: Hot & Dry,1,0.076500931697489,False
2005,6,3.06,5.49,258.95,10.43,2005-06-01,66,3,1.8326033063820213,1.5290542416351294,E: Pre-monsoon Storms,1,0.013003719004803682,False
2005,7,1.67,9.11,304.46,10.66,2005-07-01,67,1,2.21949930550449,-0.8533336802845155,C: Warm & Humid,1,0.045139143821743,False
2005,8,2.09,9.22,313.47,10.61,2005-08-01,68,1,2.6182438006024804,-0.6535530192679833,C: Warm & Humid,1,0.07999926482878794,False
2005,9,1.99,4.3,295.91,9.78,2005-09-01,69,3,1.5255556461913855,0.022430570256338888,E: Pre-monsoon Storms,1,0.06830720683639951,False
2005,10,1.85,2.77,281.41,4.9,2005-10-01,70,2,0.5245809425197818,0.043525244069534896,A: Hot & Dry,1,0.08808694315678783,False
2005,11,1.18,0.21,263.95,0.24,2005-11-01,71,4,-0.9597149879511948,-0.2351364665373414,D: Extreme Rainfall,1,0.1063489452519385,False
2005,12,0.68,0.17,246.59,-1.75,2005-12-01,72,0,-1.7260578403428768,-0.4774803087880527,B: Cold & Dry,1,0.11949106240570101,False
2006,1,0.66,0.24,239.98,-1.84,2006-01-01,73,0,-1.837869638995262,-0.3915428573019582,B: Cold & Dry,1,0.12077209353870122,False
2006,2,0.9,0.29,230.2,1.21,2006-02-01,74,4,-1.5337645540951332,0.15231192232888666,D: Extreme Rainfall,1,0.1077018313488815,False
2006,3,1.1,1.13,230.78,-0.08,2006-03-01,75,4,-1.4165939906965619,0.16320893629371178,D: Extreme Rainfall,1,0.10552045084052791,False
2006,4,1.89,2.86,242.77,3.27,2006-04-01,76,2,-0.18897694774468882,0.6572733647396971,A: Hot & Dry,1,0.08424753449384526,False
2006,5,2.57,2.85,248.49,8.05,2006-05-01,77,2,0.7775862296906315,1.4190521452907032,A: Hot & Dry,1,0.07344790032208315,False
2006,6,2.63,5.99,269.76,10.01,2006-06-01,78,3,1.7677384415743747,0.8858509208082971,E: Pre-monsoon Storms,1,0.054920097583947836,False
