district,year_start,year_end,data_points,anomaly_count,anomaly_rate,evap_trend_per_decade,evap_significant,rain_trend_per_decade,rain_significant,soilMoist_trend_per_decade,soilMoist_significant,temp_trend_per_decade,temp_significant,recommendations_critical,recommendations_high,recommendations_medium
Sindhupalchok,2000,2023,282,29,10.28368794326241,0.013857707509881401,False,-1.1742073216638436,True,-13.118387398833049,True,0.7369511104837194,True,1,5,1
Nuwakot,2000,2023,282,29,10.28368794326241,-0.08283883869753436,False,-1.001168831168831,True,-12.941777715038596,True,0.559443111236589,True,1,5,1
Chitawan,2000,2023,281,28,9.9644128113879,-0.2611036137775269,True,-1.173187276491624,True,-8.281214097496708,True,0.0296861001317524,False,1,3,1
Bhaktapur,2000,2023,282,29,10.28368794326241,-0.1530296442687747,True,-0.8404305947675512,True,-6.968894927536238,True,0.10446790890269178,False,1,3,2
Lalitpur,2000,2023,282,29,10.28368794326241,-0.33431394692264255,True,-0.8763426501035199,True,-6.8027435535479,True,0.22679371353284422,False,1,3,1
Rasuwa,2000,2023,282,29,10.28368794326241,0.016688829286655372,False,-0.8414776491624316,True,-10.50778378505552,True,0.8308549783549783,True,1,5,2
Kathmandu,2000,2023,282,29,10.28368794326241,-0.12017179559570867,False,-0.9016829474872955,True,-10.292401891586678,True,0.38397906079427835,False,1,3,1
Ramechhap,2000,2023,282,29,10.28368794326241,-0.06995473367212496,False,-0.828984613212874,True,-11.02567828910219,True,0.6204078674948241,True,1,5,1
Kabhrepalanchok,2000,2023,282,29,10.28368794326241,-0.2347781385281385,True,-0.8561211180124223,True,-9.475995859213251,True,0.30827084509693226,False,1,3,1
Sindhuli,2000,2023,282,29,10.28368794326241,-0.2662602108036891,True,-0.8738538019951065,True,-8.95328999623565,True,0.2125553359683795,False,1,3,1
Makawanpur,2000,2023,282,29,10.28368794326241,-0.3012723508375682,True,-1.087088556371165,True,-9.220645115753806,True,0.3623474496517981,True,1,5,1
Dolakha,2000,2023,282,29,10.28368794326241,0.12533074534161495,False,-0.9691229531338229,True,-14.716887304724269,True,0.9369575098814233,True,1,5,2
Dhading,2000,2023,282,29,10.28368794326241,-0.1691870882740448,True,-1.0121034255599473,True,-10.775248164878601,True,0.5053338038772822,True,1,5,1
