year,month,evap,rain,soilMoist,temp,PC1,PC2,cluster,weather_regime,anomaly_score,is_anomaly
2000,1,0.94,0.25,221.42,3.49,-2.5321637126923124,-1.3433464441342249,1,B: Cold & Dry,-0.009608527744087603,True
2000,2,1.04,0.31,216.51,3.38,-2.5371708070316727,-1.2728494150241951,1,B: Cold & Dry,-0.006572081651623929,True
2000,3,1.34,0.58,197.5,8.74,-2.039905843983527,-0.24050588663972775,1,B: Cold & Dry,0.08723123111118236,False
2000,4,2.07,2.3,200.51,15.73,-0.8030518866363432,0.7286633933747045,3,C: Warm & Humid,0.06859095234351947,False
2000,5,3.74,7.72,247.48,17.78,1.2486100764815535,0.4379927450457177,4,A: Hot & Dry,0.004605923209622165,False
2000,6,4.44,9.09,296.75,19.8,2.4226075724822294,0.12469938196475443,4,A: Hot & Dry,0.02967606041205123,False
2000,7,4.04,12.16,322.04,19.84,2.809483219584229,-0.47583790078524824,0,D: Extreme Rainfall,0.05106834131421223,False
2000,8,3.95,14.54,331.89,19.73,3.1047567598460883,-0.7792692889935701,0,D: Extreme Rainfall,0.02523201102608913,False
2000,9,3.67,7.92,316.42,17.07,1.861030727277649,-0.6158659345441733,0,D: Extreme Rainfall,-0.00964826332864932,True
2000,10,2.61,0.89,263.91,14.73,-0.14703171214682748,-0.0609686822558341,2,E: Pre-monsoon Storms,0.06810283293033742,False
2000,11,1.52,0.02,238.69,9.21,-1.5518718652873789,-0.660972630317943,1,B: Cold & Dry,0.09505178510005219,False
2000,12,0.96,0.0,220.97,5.85,-2.326872438746477,-0.9999480941016118,1,B: Cold & Dry,0.03440032759088463,False
2001,1,0.97,0.56,218.48,4.56,-2.411873839815318,-1.1700851667256869,1,B: Cold & Dry,0.005534863994823835,False
2001,2,1.16,0.53,206.14,9.05,-2.0160355991879717,-0.3529050842104124,1,B: Cold & Dry,0.10312127206850696,False
2001,3,1.44,0.66,202.02,11.44,-1.678367225476833,0.08088234232734433,1,B: Cold & Dry,0.09649191313539701,False
2001,4,1.99,2.23,191.78,16.83,-0.8316123017291488,0.9810650720879295,3,C: Warm & Humid,0.06701942339000105,False
2001,5,3.77,6.45,258.31,19.66,1.4188324509866928,0.6245308234001984,4,A: Hot & Dry,0.04433969584564079,False
2001,6,3.4,8.69,282.89,21.76,1.9234197330059295,0.36563436602367916,4,A: Hot & Dry,0.029698349194564544,False
2001,7,3.17,15.66,331.67,22.28,3.085791328577487,-0.6709192696022916,0,D: Extreme Rainfall,-0.03740116920131764,True
2001,8,3.67,13.82,333.23,22.15,3.1384703785139747,-0.492588696216062,0,D: Extreme Rainfall,-0.0024935563756239842,True
2001,9,3.88,6.87,311.91,20.48,2.134395331900071,0.012282861902976897,4,A: Hot & Dry,0.054033019854729136,False
2001,10,2.63,1.51,279.02,17.35,0.3313018127064593,0.05794081744714481,2,E: Pre-monsoon Storms,0.07044041732787487,False
2001,11,1.65,0.0,235.29,13.89,-1.0759935647925845,0.047095593486623684,3,C: Warm & Humid,0.10540996842362932,False
2001,12,1.09,0.12,217.49,10.48,-1.841860410760591,-0.30551227621049554,1,B: Cold & Dry,0.11731576635934526,False
2002,1,0.91,0.57,214.08,8.26,-2.1292997867110386,-0.6251976982430351,1,B: Cold & Dry,0.07483427686860916,False
2002,2,1.33,1.12,217.99,9.51,-1.7079376236501937,-0.44619029872884036,1,B: Cold & Dry,0.0970535467608371,False
